Table
Resultado Neto ,"12,495 "
Ajustes por partidas que no implican flujo de efectivo ,
"Depreciación de Inmuebles, mobiliario yequipo ","1,172 "
Provisiones ,273 
Impuestos a la utilidad causados diferidos ,"3,981 "
"Participación en el resultado de subsidiarias no consolidadas, ",(241) 
,"5,185 "
,"17,680 "
Actividades de operación ,
Cambio en cuentas de margen ,"9,396 "
Cambio en inversiones en valores ,(122) 
Cambio en deudores por reporto ,108 
Cambio en derivados (activo) ,"23,894 "
Cambio en cartera de crédito (neto) ,"2,654 "
Cambio en derecho de cobro adquiridos (neto) ,196 
Cambio en beneficios por recibir en operaciones de bursatilización ,110 
Cambio en bienes adjudicados (neto) ,(428) 
Cambio en otros activos operativos (neto) ,"(8,734) "
Cambio en captación tradicional ,"(27,864) "
Cambio en préstamos interbancarios yde otros organismos ,89 
Cambio en acreedores por reporto ,"3,148 "
Cambio en colaterales vendidos o dados en garantía ,42 
Cambio en derivados (pasivo) ,"(24,094) "
Cambio en obligaciones subordinadas con características de pasivo ,92 
Cambio en otros pasivos operativos ,"13,280 "
Cambio en instrumentos de cobertura (de partidas cubiertas relacionadas con actividades de operación) ,438 
Pago de Impuestos a la utilidad ,"(5,317) "
Flujos netos de efectivo de actividades de operación ,"4,568 "
Actividades de inversión ,
"Cobros por disposición de inmuebles, mobiliario equipo ",419 
"Pagos por adquisición de inmuebles, mobiliario yequipo ","(1,485) "
"Pagos por adquisición de subsidiarias, asociadas y acuerdos con control conjunto ",(9) 
Cobros de dividendos en efectivo ,31 
Flujos netos de efectivo de actividades de inversión ,"(1,044) "
Actividades de financiamiento ,
Pagos de intereses de obligaciones subordinadas ,"(1,863) "
Flujos netos de efectivo de actividades de financiamiento ,"(1,863) "
Incremento o disminución neta de efectivo y equivalentes de efectivo ,"1,661 "
Efectos por cambios en el valor del efectivo y equivalentes de efectivo ,3 
Efectivo y equivalentes al inicio del período ,"108,743 "
Efectivo y equivalentes al final del período ,"110,407 "


