Table
GFNorte - Balance General (Millones de Pesos) ,1T20 ,2T20 ,3T20 ,4T20 ,1T21 ,2T21 
PASIVOS ,,,,,,
Depósitos exigibilidad inmediata ,"433,849 ","469,861 ","496,641 ","520,283 ","541,002 ","529,030 "
Depósitos a plazo-Del Público en General ,"274,681 ","265,100 ","251,418 ","252,271 ","246,883 ","243,038 "
Depósitos a plazo-Mercado de Dinero ,"26,894 ","28,433 ","26,741 ","14,248 ","8,069 ","3,364 "
Cuenta global de captación sin movimientos ,"2,213 ","2,368 ","2,489 ","2,585 ","2,639 ","2,744 "
Títulos de crédito emitidos ,"35,355 ","35,386 ","35,815 ","32,325 ","31,937 ","31,907 "
Captación de Recursos ,"772,993 ","801,148 ","813,104 ","821,712 ","830,531 ","810,082 "
De exigibilidad inmediata ,"5,000 ",0 ,0 ,0 ,0 ,0 
De corto plazo ,"20,824 ","47,365 ","22,185 ","22,499 ","20,054 ","19,531 "
De largo plazo ,"11,675 ","14,452 ","13,223 ","13,522 ","13,962 ","14,223 "
Préstamos de Bancos y otros ,"37,499 ","61,817 ","35,408 ","36,021 ","34,016 ","33,754 "
Reservas Técnicas ,"162,887 ","179,930 ","183,866 ","187,846 ","200,479 ","204,291 "
Valores asignados por liquidar ,- ,- ,- ,- ,- ,- 
Acreedores por reporto ,"354,238 ","353,211 ","352,628 ","353,094 ","371,414 ","382,616 "
Préstamos de Valores ,- ,- ,0 ,0 ,0 ,0 
Reportos (saldo acreedor) ,16 ,8 ,2 ,13 ,19 ,55 
Préstamos de valores ,- ,- ,0 ,8 ,13 ,22 
Derivados ,- ,- ,- ,- ,- ,- 
Otros colaterales vendidos ,- ,- ,- ,- ,- ,- 
Total de Colaterales vendidos o dados en ,16 ,8 ,2 ,21 ,31 ,77 
Con fines de negociación ,"50,574 ","58,754 ","50,121 ","44,097 ","24,508 ","20,011 "
Con fines de cobertura ,"10,487 ","7,682 ","7,189 ","4,990 ","5,566 ","5,623 "
Operaciones con valores y derivados ,,,,,,
Derivados ,"61,062 ","66,436 ","57,310 ","49,087 ","30,073 ","25,634 "
Total de Op. con Valores y Derivados ,"415,316 ","419,655 ","409,939 ","402,202 ","401,518 ","408,328 "
Ajustes de valuación por cobertura de pasivos ,- ,- ,- ,- ,- ,- 
