Table
Información de la Acción del Grupo ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 ,1S20 ,1S21 ,Var. Vs. 1S20 
Utilidad por Acción (Pesos) ,2.260 ,2.963 ,2.971 ,0% ,31% ,5.423 ,5.935 ,9% 
Utilidad por Acción Básica (Pesos) ,2.287 ,2.995 ,3.002 ,0% ,31% ,5.470 ,5.997 ,10% 
Dividendo por Acción del periodo (Pesos) ,0.00 ,0.00 ,3.17 ,N.A. ,N.A. ,0.00 ,3.17 ,N.A. 
Payout del Periodo ,0.0% ,0.0% ,25.0% ,N.A. ,N.A. ,0.0% ,25.0% ,N.A. 
Valor en Libros por Acción (Pesos) ,71.41 ,78.81 ,78.48 ,(0%) ,10% ,71.41 ,78.48 ,10% 
Acciones en Circulación - BMV (Millones) ,"2,883.5 ","2,883.5 ","2,883.5 ",0% ,0% ,"2,883.5 ","2,883.5 ",0% 
Precio de la Acción (Pesos) ,79.72 ,115.13 ,128.76 ,12% ,62% ,79.72 ,128.76 ,62% 
P/VL (Veces) ,1.12 ,1.46 ,1.64 ,12% ,47% ,1.12 ,1.64 ,47% 
Capitalización de Mercado (Millones de dólares) ,"9,956 ","16,241 ","18,651 ",15% ,87% ,"9,956 ","18,651 ",87% 
Capitalización de Mercado (Millones de pesos) ,"229,869 ","331,972 ","371,274 ",12% ,62% ,"229,869 ","371,274 ",62% 


Table
Utilidad de Subsidiarias (Millones de Pesos) ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 ,1S20 ,1S21 ,Var. Vs. 1S20 
Banco Mercantil del Norte ,"3,606 ","5,870 ","6,408 ",9% ,78% ,"9,678 ","12,278 ",27% 
Casa de Bolsa Banorte Ixe ,360 ,314 ,376 ,20% ,5% ,572 ,690 ,21% 
Operadora de Fondos Banorte-Ixe ,107 ,107 ,107 ,0% ,0% ,207 ,214 ,3% 
Afore XXI Banorte ,618 ,396 ,456 ,15% ,(26%) ,944 ,852 ,(10%) 
Seguros Banorte ,927 ,858 ,463 ,(46%) ,(50%) ,"2,630 ","1,321 ",(50%) 
Pensiones Banorte ,424 ,496 ,494 ,(0%) ,16% ,708 ,990 ,40% 
BAP (Controladora) ,8 ,8 ,9 ,9% ,10% ,22 ,17 ,(22%) 
Otras Subsidiarias Auxiliares de Crédito ,242 ,250 ,89 ,(64%) ,(63%) ,309 ,338 ,10% 
G. F. Banorte (Controladora) ,226 ,247 ,166 ,(33%) ,(27%) ,566 ,413 ,(27%) 
Utilidad Neta Total ,"6,518 ","8,544 ","8,568 ",0% ,31% ,"15,636 ","17,112 ",9% 


