Table
EMPRESA/DEUDA ,,CALIFICACION ,,PREVIA 
"Grupo Financiero Banorte, S.A.B. de C.V. ",LT IDR ,BBB- ,Affirmed ,BBB- 
,ST IDR ,F3 ,Affirmed ,F3 
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte ",LT IDR ,BBB- ,Affirmed ,BBB- 
senior unsecured ,LT ,BBB- ,Affirmed ,BBB- 
subordinated ,LT ,BB- ,Affirmed ,BB- 
senior unsecured ,Natl LT ,AAA(mex) ,Affirmed ,AAA(mex) 
"Arrendadora y Factor Banorte, S.A. de C.V., SOFOM, E.R., Grupo Financiero Banorte ",Natl LT ,AAA(mex) ,Affirmed ,AAA(mex) 
,Natl ST ,F1+(mex) ,Affirmed ,F1+(mex) 
"Casa de Bolsa Banorte, S. A. de C. V., Grupo Financiero Banorte ",Natl LT ,AAA(mex) ,Affirmed ,AAA(mex) 
,Natl ST ,F1+(mex) ,Affirmed ,F1 (mex) 
"Almacenadora Banorte, S.A. de C.V., Organización Auxiliar del Crédito, Grupo Financiero Banorte ",Natl LT ,AAA(mex) ,Affirmed ,AAA(mex) 
,Natl ST ,F1+ +(mex) ,Affirmed ,F1+(mex) 


