Table
Cartera Comercial de Grupo Financiero Banorte ,Empresas bajo Modelo ,Interno Básico ,Millones de pesos 
Nivel de Riesgo ,Saldo Contable ,Exposición al Incumplimiento (EI)* ,PI ponderada por El 
1 ,"68,285 ","68,377 ",0.13% 
2 ,"54,579 ","54,619 ",0.50% 
3 ,"44,273 ","44,452 ",0.81% 
4 ,"9,992 ","9,992 ",1.43% 
5 ,"6,595 ","6,595 ",2.52% 
6 ,756 ,757 ,6.30% 
7 ,895 ,895 ,15.37% 
8 ,939 ,939 ,31.22% 
9 ,200 ,200 ,57.62% 
Incumplimiento ,664 ,664 ,100.00% 
Total ,"187,177 ","187,491 ",1.22% 


Table
Cartera ,Pérdida Esperada Modelos Internos* ,Pérdida Observada ,Diferencia Ps (Pérdida Observada - Pérdida Esperada) ,% Cobertura PNC 
Auto Persona Física ,711 ,687 ,(24) ,103% 
Cartera Total ,711 ,687 ,(24) ,103% 


