Table
Cartera de ,Consumo ,Revolvente bajo Modelo ,Interno ,Avanzado ,,,Millones de pesos 
Grado de Riesgo* ,Saldo Contable ,Exposición al Incumplimiento (EI) ** ,Severidad de la Pérdida ,PI ponderada por El ,Compromisos No Dispuestos ,El media ponderada por posición ,El Vigente 
A1 ,"15,128 ","28,238 ",87.30% ,1.08% ,"53,495 ",46% ,"28,238 "
A2 ,"5,186 ","8,932 ",87.30% ,3.43% ,"8,567 ",42% ,"8,932 "
B1 ,"4,412 ","5,839 ",87.30% ,4.93% ,"1,634 ",24% ,"5,839 "
B2 ,405 ,748 ,87.30% ,4.93% ,"1,104 ",46% ,748 
B3 ,"2,007 ","2,690 ",87.30% ,8.13% ,815 ,25% ,"2,677 "
C1 ,"4,400 ","5,616 ",87.30% ,9.33% ,"1,180 ",22% ,"5,585 "
C2 ,"3,081 ","3,815 ",87.30% ,17.34% ,598 ,19% ,"3,683 "
D ,"4,598 ","4,993 ",87.30% ,47.75% ,505 ,8% ,"1,452 "
E ,555 ,566 ,88.11% ,97.46% ,157 ,2% ,18 
Cartera Total ,"39,771 ","61,437 ",87.39% ,8.59% ,"68,054 ",35% ,"57,171 "


