Table
Intervalo de Calificación (Millones de pesos) ,MtM 1T21 ,Promedio 1T21 
AAA/AA- ,0 ,0 
A+/A- ,"(7,092) ","(8,786) "
BBB+/BBB- ,(54) ,282 
BB+/BB- ,"4,984 ","7,485 "
B+/B- ,649 ,"1,260 "
CCC/C ,0 ,0 
SC ,"3,820 ","5,809 "
Total ,"2,307 ","6,050 "


Table
Tipo de Garantía ,,1T21 ,
(Millones de pesos) ,Banorte ,Arrendadora y Factor** ,GFNorte* 
Cartera Total ,"792,403 ","34,108 ","810,935 "
Cartera Cubierta por Tipo de Garantía ,,,
Garantías Reales Financieras ,"17,036 ",0 ,"17,036 "
Garantías Reales No Financieras ,"463,504 ","7,031 ","470,535 "
Pari Passu ,"34,572 ",0 ,"34,572 "
Primeras Pérdidas ,"17,785 ",0 ,"17,785 "
Garantías Personales ,"23,988 ","2,938 ","26,926 "
Cartera Total Cubierta ,"556,885 ","9,969 ","566,854 "


