Table
,,1T21 ,
Provisiones preventivas para Riesgos Crediticios para créditos emproblemados (Millones de pesos) ,Banorte ,Arrendadora y Factor ,GFNorte 
Provisiones Preventivas Iniciales ,"1,008 ",316 ,"1,324 "
Cargos a resultados ,531 ,3 ,534 
Por créditos castigados ,52 ,0 ,52 
Por ajustes en el riesgo crediticio ,479 ,3 ,482 
Por Venta de Cartera ,0 ,0 ,0 
Por variaciones en el Tipo de Cambio ,0 ,0 ,0 
Por Daciones ,0 ,0 ,0 
"Castigos, Condonaciones y Quitas ",(98) ,0 ,(98) 
Provisiones Preventivas Finales ,"1,441 ",319 ,"1,760 "
Recuperaciones de cartera ,69 ,0 ,69 


Table
Entidad Federativa ,Cartera ,,Emproblemada ,,Cartera ,Reservas 
(Millones de pesos) ,Vigente ,Vencida ,Vigente ,Vencida ,Total* ,Totales 
1 Ciudad de México ,"240,540 ","1,934 ",150 ,"1,156 ","243,780 ","4,121 "
2 Nuevo León ,"121,161 ",587 ,77 ,398 ,"122,224 ","1,925 "
3 Estado de México ,"64,344 ",919 ,83 ,193 ,"65,540 ","1,574 "
4 Jalisco ,"51,452 ",512 ,77 ,93 ,"52,134 ",818 
5 Tamaulipas ,"25,071 ",219 ,28 ,48 ,"25,367 ",486 
6 Baja California Sur ,"24,435 ",178 ,5 ,28 ,"24,646 ",356 
7 Sinaloa ,"22,806 ",148 ,13 ,179 ,"23,146 ",380 
8 Coahuila ,"21,244 ",146 ,18 ,47 ,"21,455 ",364 
9 Chihuahua ,"18,592 ",156 ,17 ,109 ,"18,874 ",408 
10 Guanajuato ,"18,485 ",212 ,21 ,111 ,"18,829 ",423 
Principales 10 ,"608,130 ","5,011 ",489 ,"2,364 ","615,994 ","10,854 "
Otras Entidades Federativas ,"192,054 ","2,245 ",244 ,987 ,"195,530 ","4,841 "
Registros Contables** ,(590) ,0 ,0 ,0 ,(590) ,"3,975 "
Cartera Total ,"799,594 ","7,256 ",733 ,"3,351 ","810,935 ","19,670 "


Table
Plazo Remanente ,Cartera ,,Emproblemada ,,Cartera ,Reservas 
(Millones de pesos) ,Vigente ,Vencida ,Vigente ,Vencida ,Total* ,Totales 
0 1 años ,"119,068 ","2,943 ",148 ,"1,576 ","123,734 ","6,396 "
1 5 años ,"212,844 ","2,254 ",552 ,"1,209 ","216,859 ","6,410 "
5 10 años ,"98,420 ",151 ,31 ,221 ,"98,822 ",581 
> 10 años ,"336,098 ","1,904 ",0 ,0 ,"338,001 ","1,782 "
Banorte* ,"766,429 ","7,251 ",731 ,"3,005 ","777,417 ","15,169 "
Arrendadora y Factoraje ,"33,755 ",5 ,2 ,345 ,"34,108 ",525 
Registros Contables** ,(590) ,0 ,0 ,0 ,(590) ,"3,975 "
Cartera Total ,"799,594 ","7,256 ",733 ,"3,351 ","810,935 ","19,670 "


