Table
Casa de Bolsa BBVA Bancomer S.A. de C.V. Activos en Riesgo Junio 2021 Millones de pesos ,Activos Ponderados por Riesgo ,Capital Requerido 
Activos en Riesgo Crédito ,105 ,8 
Grupo Il (ponderados al 20%) ,41 ,3 
Grupo III (ponderados al 100%) ,64 ,5 
Activos en Riesgo Mercado ,157 ,13 
Operaciones en moneda nacional con tasa nominal ,6 ,1 
Posiciones en acciones O con rendimiento indizado al precio de una acción O grupo de acciones ,151 ,12 
Total con Riesgo Crédito y Mercado ,262 ,21 


Table
Casa de Bolsa BBVA Bancomer S.A. de C.V. Capitalización estimada Millones de pesos ,Junio 2020 ,,Marzo 2021 ,,Junio 2021 ,
Capital Básico ,,691 ,,"1,061 ",,"1,198 "
Capital Neto ,,691 ,,"1,061 ",,"1,198 "
,Riesgo ,Riesgo ,Riesgo ,Riesgo ,Riesgo ,Riesgo 
,Crédito ,Crédito y Mdo. ,Crédito ,Crédito y Mdo. ,Crédito ,Crédito y Mdo. 
Activos en Riesgo ,68 ,196 ,100 ,260 ,105 ,262 
Capital Básico como % de los Activos en Riesgo ,1016.2% ,352.6% ,1061.0% ,408.1% ,1141.0% ,457.3% 
Índice de Capitalización Total Estimado ,1016.2% ,352.6% ,1061.0% ,408.1% ,1141.0% ,457.3% 


Table
Capital Básico ,"1,198 "
Capital contable ,"1,199 "
Deducción de inversiones en acciones no financieras ,(1) 
Capital Neto ,"1,198 "


