Table
"BBVA Bancomer, S.A., Institución de Banca Múltiple, ",Grupo Financiero ,BBVA Bancomer ,,,,
Capitalización Estimada Millones de pesos ,Junio 2020 ,,Marzo 2021 ,,Junio 2021 ,
Capital Básico ,,"212,394 ",,"238,420 ",,"240,847 "
Capital Complementario ,,"61,425 ",,"50,940 ",,"49,328 "
Capital Neto ,,"279,819 ",,"289,360 ",,"290,175 "
,Riesgo ,Riesgo Créd. ,Riesgo ,Riesgo Créd. ,Riesgo ,Riesgo Créd. 
,Crédito ,Mdo.y Opnal. ,Crédito ,Mdo.y Opnal. ,Crédito ,Mdo.y Opnal. 
Activos en Riesgo ,"1,147,290 ","1,710,145 ","1,070,751 ","1,638,636 ","1,096,289 ","1,658,890 "
Capital Básico como % de los Activos en Riesgo ,18.51% ,12.42% ,22.27% ,14.55% ,21.97% ,14.52% 
Capital Complementario como % de los Activos en Riesgo ,5.35% ,3.59% ,4.76% ,3.11% ,4.50% ,2.97% 
Indice de Capitalización Total Estimado ,23.86% ,16.01% ,27.02% ,17.66% ,26.47% ,17.49% 


