Table
"Grupo Financiero BBVA Bancomer, ",S.A. de C.V. ,,,% ,,,,% 
Gastos Millones de pesos ,2T 2020 ,1T 2021 ,2T 2021 ,Var Trim ,Var Anual ,6M 2020 ,6M 2021 ,Var Anual 
Salarios y prestaciones ,"5,654 ","6,497 ","6,728 ",3.6 ,19.0 ,"12,311 ","13,225 ",7.4 
Gasto de administración y operación ,"4,264 ","4,571 ","4,795 ",4.9 ,12.5 ,"8,495 ","9,366 ",10.3 
Rentas ,"1,560 ","1,741 ","1,720 ",(1.2) ,10.3 ,"3,115 ","3,461 ",11.1 
Depreciación y amortización ,"1,518 ","1,486 ","1,513 ",1.8 ,(0.3) ,"3,000 ","2,999 ",(0.0) 
Impuestos ,"1,538 ","1,526 ","1,506 ",(1.3) ,(2.1) ,"2,851 ","3,032 ",6.3 
Cuota por costo de captación (IPAB) ,"1,703 ","1,588 ","1,583 ",(0.3) ,(7.0) ,"3,148 ","3,171 ",0.7 
Gastos de administración y promoción ,"16,237 ","17,409 ","17,845 ",2.5 ,9.9 ,"32,920 ","35,254 ",7.1 


