Table
,Activos Ponderados por Riesgo ,Capital Requerido 
Activos en Riesgo Crédito ,"1,096,340 ","87,328 "
Ponderados al 10% ,508 ,41 
Ponderados al 11.5% ,907 ,73 
Ponderados al 20% ,"15,910 ","1,273 "
Ponderados al 23% ,19 ,0 
Ponderados al 25% ,,
Ponderados al 28.8% ,,
Ponderados al 40% ,,
Ponderados al 50% ,"5,242 ",419 
Ponderados al 57.5% ,"4,390 ",0 
Ponderados al 60% ,,
Ponderados al 75% ,O ,0 
Ponderados al 90% ,,
Ponderados al 100% ,"332,675 ","26,614 "
Ponderados al 115% ,"9,273 ",742 
Ponderados al 120% ,O ,0 
Ponderados al 150% ,327 ,26 
Ponderados al 350% ,,
Ponderados al 1250% ,968 ,77 
Metodología Interna ,"615,532 ","49,243 "
Por facilidades Covid ,,
-CVA (RC061 B) ,"21,962 ","1,757 "
-ECC(RC06C) ,28 ,2 
-Contraparte derivados ,"14,927 ","1,194 "
-Relacionados derivados ,"11,972 ",958 
-Contraparte reportos y spot ,473 ,38 
,,
Activos en Riesgo Mercado ,"439,760 ","35,181 "
Operaciones en moneda nacional con tasa nominal ,"368,123 ","29,450 "
Operaciones en moneda nacional con tasa real O denominados en Udis ,"12,160 ",973 
Tasa de Rendimineto referida al salario minimo general (SMG) ,"5,029 ",402 
Tasa de interés operaciones en moneda extranjera con tasa nominal ,"35,701 ","2,856 "
Posiciones en UDIs O con rendimiento referido al INPC ,95 ,8 
Operaciones referidas al SMG ,258 ,21 
Posiciones en divisas O con rendimiento indizado al tipo de cambio ,"5,331 ",426 
Posiciones en acciones O con rendimiento indizado al precio de una acción o grupo de acciones ,"5,239 ",419 
Sobretasa ,"5,745 ",460 
Gamma Vega ,,
Activos en riesgo operativo ,"122,841 ","9,827 "
"Total con Crédito, Mercado y Operativo ","1,658,941 ","132,336 "


