Table
,Capital ,Contribuido ,,,,Capital Ganado ,,,,,
,Capital social ,Prima en venta de acciones ,Reservas de capital ,Resultado de ejercicios anteriores ,Resultado por valuación de títulos disponibles para la venta ,Resultado por valuación de instrumentos de cobertura de flujos de efectivo ,Efecto acumulado por conversión ,Remediciones por beneficios definidos a los empleados ,Resultado neto ,Participación no controladora ,Total Capital Contable 
Saldos al 31 de Diciembre de 2020 ,"9,799 ","79,333 ",204 ,"145,650 ","2,879 ",(96) ,440 ,"(9,544) ","42,860 ",39 ,"271,564 "
MOVIMIENTOS INHERENTES A LAS DECISIONES DE LOS PROPIETARIOS. ,,,,,,,,,,,
Traspaso del resultado neto a resultado de ejercicios anteriores ,,,,"42,860 ",,,,,"(42,860) ",,O 
Decreto de dividendos ,,,,"(11,080) ",,,,,,,"(11,080) "
Capitalización de resultados de ejercicios anteriores y resultados integrales de subsidiarias ,,,,"(3,565) ",,,,"3,565 ",,,O 
Total ,o ,o ,o ,"28,215 ",o ,o ,o ,"3,565 ","(42,860) ",o ,"(11,080) "
MOVIMIENTOS INHERENTES AL RECONOCIMIENTO DE LA UTILIDAD INTEGRAL.- ,,,,,,,,,,,
Resultado neto ,,,,,,,,,"25,895 ",5 ,"25,900 "
Resultado por valaluación de títulos disponibles para la venta ,,,,,"(6,431) ",,,,,,"(6,431) "
Resultado por valuación de instrumentos de cobertura de flujos de efectivo ,,,,,,(466) ,,,,,(466) 
Efecto acumulado por conversión ,,,,,,,(440) ,,,,(440) 
Remediciones por beneficios definidos a los empleados ,,,,,,,,"3,557 ",,,"3,557 "
Total ,o ,o ,o ,o ,"(6,431) ",(466) ,(440) ,"3,557 ","25,895 ",5 ,"22,120 "
Saldo al 30 de Junio de 2021 ,"9,799 ","79,333 ",204 ,"173,865 ","(3,552) ",(562) ,o ,"(2,422) ","25,895 ",44 ,"282,604 "


