Table
"Grupo Financiero BBVA Bancomer, Cartera de crédito vigente Millones de pesos ",S.A. de C.V. 6M 2020 ,3M 2021 ,6M 2021 ,% Var Trim ,Var Anual 
Actividad Empresarial ,"570,758 ","496,702 ","499,068 ",0.5 ,(12.6) 
Entidades Financieras ,"28,600 ","24,558 ","24,156 ",(1.6) ,(15.5) 
Prestamos al Gobierno ,"93,771 ","111,257 ","112,504 ",1.1 ,20.0 
Paraestatales ,"55,969 ","62,162 ","54,089 ",(13.0) ,(3.4) 
Entidades Gubernamentales ,"149,740 ","173,419 ","166,593 ",(3.9) ,11.3 
Créditos Comerciales ,"749,098 ","694,679 ","689,817 ",(0.7) ,(7.9) 
Créditos de Consumo ,"289,983 ","281,630 ","287,938 ",2.2 ,(0.7) 
Créditos a la Vivienda ,"242,366 ","253,019 ","258,596 ",2.2 ,6.7 
Crédito Vigente Total ,"1,281,447 ","1,229,328 ","1,236,351 ",0.6 ,(3.5) 


