Table
,Criterios Contables Especiales ,Criterio Contable B-6 
Cartera de crédito vigente: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"416,942 ","413,570 "
Créditos de consumo ,"107,758 ","107,143 "
Créditos a la vivienda ,,
Media y residencial ,"157,642 ","154,197 "
De interés social ,5 ,5 
Créditos adquiridos al Infonavit o el Fovissste ,"10,881 ","10,881 "
Total de cartera de crédito vigente ,"693,228 ","685,796 "
Cartera de crédito vencida: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"6,503 ","9,628 "
Créditos de consumo ,"5,536 ","6,017 "
Créditos a la vivienda ,,
Media y residencial ,"6,806 ","9,977 "
De interés social ,9 ,9 
Créditos adquiridos al Infonavit o el Fovissste ,"1,907 ","1,907 "
Total de cartera de crédito vencida ,"20,761 ","27,538 "
,,


