Table
Millones de pesos ,Mar-21 ,Dic-20 ,Mar-20 
Capital fundamental ,"114,711 ","114,306 ","90,288 "
Capital básico ,"124,926 ","124,255 ","102,020 "
Capital complementario ,"27,855 ","27,203 ","30,487 "
Total capital ,"152,782 ","151,458 ","132,507 "
Activos en riesgo ,,,
Riesgos de crédito ,"526,922 ","540,191 ","539,806 "
"Riesgos de crédito, mercado y operacional ","774,368 ","796,836 ","816,199 "
Riesgos de crédito: ,,,
Capital Fundamental (CET1) (%) ,21.77 ,21.16 ,16.73 
Capital Básico (Tier1) ,23.71 ,23.00 ,18.90 
Capital Complementario (Tier2) (%) ,5.29 ,5.04 ,5.65 
Índice de capitalización (%) ,29.00 ,28.04 ,24.55 
Riesgos totales: ,,,
Capital Fundamental (CET1) (%) ,14.81 ,14.35 ,11.06 
Capital Básico (Tier 1) ,16.13 ,15.59 ,12.50 
Capital Complementario (Tier2) (%) ,3.60 ,3.42 ,3.73 
Índice de capitalización (%) ,19.73 ,19.01 ,16.23 


