Table
Millones de pesos ,,,,% ,Variación ,,,% Variación 
,1T21 ,4T20 ,1T20 ,TaT ,AaA ,3M21 ,3M20 ,21/20 
Margen financiero ,"15,585 ","16,272 ","16,896 ",(4.2) ,(7.8) ,"15,585 ","16,896 ",(7.8) 
Estimación preventiva para ,,,,,,,,
riesgos crediticios ,"(7,075) ","(3,152) ","(5,165) ",124.5 ,37.0 ,"(7,075) ","(5,165) ",37.0 
Margen financiero ajustado por riesgos crediticios ,"8,510 ","13,120 ","11,731 ",(35.1) ,(27.5) ,"8,510 ","11,731 ",(27.5) 
Comisiones y tarifas (neto) ,"4,902 ","4,709 ","4,697 ",4.1 ,4.4 ,"4,902 ","4,697 ",4.4 
Resultado por intermediación ,"1,398 ",723 ,883 ,93.4 ,58.3 ,"1,398 ",883 ,58.3 
Otros ingresos de la operación ,(664) ,(379) ,(212) ,75.2 ,- ,(664) ,(212) ,- 
Gastos de administración y operación ,"(9,894) ","(11,102) ","(9,785) ",(10.9) ,1.1 ,"(9,894) ","(9,785) ",1.1 
Resultado de operación ,"4,252 ","7,071 ","7,314 ",(39.9) ,(41.9) ,"4,252 ","7,314 ",(41.9) 
Participación en el resultado de asociadas ,77 ,79 ,4 ,(2.5) ,- ,77 ,4 ,- 
Resultado antes de impuestos a la utilidad ,"4,329 ","7,150 ","7,318 ",(39.5) ,(40.8) ,"4,329 ","7,318 ",(40.8) 
Impuestos a la utilidad (neto) ,"(1,050) ","(1,670) ","(1,904) ",(37.1) ,(44.9) ,"(1,050) ","(1,904) ",(44.9) 
Utilidad neta mayoritaria ,"3,279 ","5,480 ","5,414 ",(40.2) ,(39.4) ,"3,279 ","5,414 ",(39.4) 
Tasa efectiva de impuestos (%) ,24.26 ,23.36 ,26.02 ,,,24.26 ,26.02 ,


