Table
Millones de pesos ,Mar-21 ,% ,Dic-20 ,% ,Mar-20 ,% 
Cartera vigente Comercial ,"416,942 ",58.4 ,"407,941 ",58.0 ,"498,956 ",64.3 
Individuos ,"276,287 ",38.7 ,"273,188 ",38.9 ,"260,086 ",33.5 
Consumo ,"107,758 ",15.1 ,"108,173 ",15.4 ,"111,592 ",14.4 
Tarjeta de crédito ,"47,641 ",6.7 ,"49,793 ",7.1 ,"55,236 ",7.1 
Otros Consumo ,"60,117 ",8.4 ,"58,380 ",8.3 ,"56,356 ",7.3 
Hipotecario ,"168,529 ",23.6 ,"165,015 ",23.5 ,"148,494 ",19.1 
Subtotal vigente ,"693,229 ",97.1 ,"681,129 ",96.9 ,"759,042 ",97.8 
Cartera Vencida ,,,,,,
Comercial ,"6,503 ",0.9 ,"6,245 ",0.9 ,"5,728 ",0.7 
Individuos ,"14,257 ",2.0 ,"15,395 ",2.2 ,"11,039 ",1.4 
Consumo ,"5,536 ",0.8 ,"7,539 ",1.1 ,"4,319 ",0.6 
Tarjeta de crédito ,"3,166 ",0.4 ,"4,016 ",0.6 ,"2,388 ",0.3 
Otros Consumo ,"2,370 ",0.3 ,"3,523 ",0.5 ,"1,931 ",0.2 
Hipotecario ,"8,721 ",1.2 ,"7,856 ",1.1 ,"6,720 ",0.9 
Subtotal vencida ,"20,760 ",2.9 ,"21,640 ",3.1 ,"16,767 ",2.2 
Total cartera de crédito ,,,,,,
Comercial ,"423,445 ",59.3 ,"414,186 ",58.9 ,"504,684 ",65.1 
Individuos ,"290,544 ",40.7 ,"288,583 ",41.1 ,"271,125 ",34.9 
Consumo ,"113,294 ",15.9 ,"115,712 ",16.5 ,"115,911 ",14.9 
Tarjeta de crédito ,"50,807 ",7.1 ,"53,809 ",7.7 ,"57,624 ",7.4 
Otros Consumo ,"62,487 ",8.8 ,"61,903 ",8.8 ,"58,287 ",7.5 
Hipotecario ,"177,250 ",24.8 ,"172,871 ",24.6 ,"155,214 ",20.0 
Total cartera de crédito ,"713,989 ",100.0 ,"702,769 ",100.0 ,"775,809 ",100.0 


