Table
31 ,Obligaciones subordinadas monto que cumple con el Anexo 1-S ,46 ,,
32 ,Obligaciones subordinadas sujetas a transitoriedad que computan como capital complementario ,47 ,,
33 ,Impuestos a la utilidad diferida (a cargo) asociados a cargos diferidos y pagos anticipados ,26- J ,,
,Capital contable ,,,
34 ,Capital contribuido que cumple con el Anexo 1-Q ,1 ,"35,123 ",BG29 
35 ,Resultado de ejercicios anteriores ,2 ,"96,527 ","BG30= 124,480 Menos: otros elementos del capital ganado 27,943 Mas: Efecto acumulado por conversión 9 "
36 ,Resultado por valuación de instrumentos para cobertura de flujo de efectivo ,3 ,,
37 ,Otros elementos del capital ganado distintos a los anteriores ,3 ,"27,943 ","BG30= 124,480 Menos: Resultado de ejercicios anteriores 96,527 Mas: Efecto acumulado por conversión 9 "
38 ,Capital contribuido que cumple con el Anexo 1-R ,31 ,"10,216 ","BG26= 36,757 Menos: Obligaciones subordinadas no convertibles a Capital 26,541 "
39 ,Capital contribuido que cumple con el Anexo 1-S ,46 ,"26,541 ","BG26= 36,757 Menos: Obligaciones subordinadas convertibles a Capital 10,216 "
40 ,Resultado por valuación de instrumentos para cobertura de flujo de efectivo de partidas no registradas a valor razonable ,"03,11 ",,
41 ,Efecto acumulado por conversión ,"3,26- A ",,
42 ,Resultado por tenencia de activos no monetarios ,"3,26- A ",,
,Cuentas de orden ,,,
43 ,Posiciones en Esquemas de Primeras Pérdidas ,26-K ,,
,Conceptos regulatorios no considerados en el balance general ,,,
44 ,Reservas pendientes de constituir ,12 ,,
45 ,Utilidad o incremento al valor de los activos por adquisición de posiciones de bursatilizaciones (Instituciones Originadoras) ,26- C ,,
46 ,Operaciones que contravengan las disposiciones ,26 - I ,,


