Table
Referencia ,Capital Descripción ,Monto 
,Capital Común de Nivel 1 (CET * 1) Instrumentos y Reservas ,
1 ,Acciones ordinarias que califican para capital común de nivel 1 más su prima correspondiente ,"35,123 "
2 ,Resultados de ejercicios anteriores ,"96,527 "
3 ,Otros elementos de la utilidad integral (y otras reservas) ,"27,943 "
4 ,Capital sujeto a eliminación gradual del capital común de nivel 1 (solo aplicable para compañías que no estén vinculadas a acciones) ,
5 ,Acciones ordinarias emitidas por subsidiarias en tenencia de terceros (monto permitido en el capital común de nivel 1) ,
6 ,Capital común de nivel 1 antes de ajustes regulatorios ,"159,593 "
,Capital común de nivel 1: ajustes regulatorios ,
7 ,Ajustes por valuación prudencial ,
8 ,Crédito mercantil (neto de sus correspondientes impuestos a la utilidad diferidos a cargo) ,"2,404 "
9 ,Otros intangibles diferentes a los derechos por servicios hipotecarios (neto de sus correspondientes impuestos a la utilidad diferidos a cargo) ,"6,272 "
10 (conservador) ,Impuestos a la utilidad diferidos a favor que dependen de ganancias futuras excluyendo aquellos que se derivan de diferencias temporales (netos de impuestos a la utilidad diferidos a cargo) ,0 
11 ,Resultado por valuación de instrumentos de cobertura de flujos de efectivo ,0 
12 ,Reservas pendientes de constituir ,0 
13 ,Beneficios sobre el remanente en operaciones de bursatilización ,151 
14 ,Pérdidas y ganancias ocasionadas por cambios en la calificación crediticia propia sobre los pasivos valuados a valor razonable ,
15 ,Plan de pensiones por beneficios definidos ,0 
16 (conservador) ,Inversiones en acciones propias ,0 
17 (conservador) ,Inversiones recíprocas en el capital ordinario ,0 
18 (conservador) ,"Inversiones en el capital de bancos, instituciones financieras y aseguradoras fuera del alcance de la consolidación regulatoria, netas de las posiciones cortas elegibles, donde la Institución no posea más del 10% del capital social emitido (monto que excede el umbral del 10%) ",67 
19 (conservador) ,"Inversiones significativas en acciones ordinarias de bancos, instituciones financieras y aseguradoras fuera del alcance de la consolidación regulatoria, netas de las posiciones cortas elegibles, donde la Institución posea más del 10% del capital social emitido (monto que excede el umbral del 10%) ",0 


Table
Operaciones financieras derivadas de tipo de cambio ,388 
PTU diferida activo ,"4,970 "
Pasivo por PTU diferida: ,
Efecto neto instrumentos financieros ,(596) 
Pagos anticipados ,(305) 
Otros ,(63) 
PTU diferida pasivo ,(964) 
Menos - Reserva constituida ,(463) 
PTU diferida activo (neto) ,"3,543 "


