Table
Las inversiones en valores se integran de la siguiente manera: ,Valor Contable 
Títulos para negociar: ,
Valores bancarios ,"10,613 "
Valores gubernamentales ,"191,761 "
Acciones ,"1,820 "
,"204,194 "
Títulos disponibles para la venta: ,
Valores gubernamentales ,"341,431 "
Valores privados ,"1,282 "
Acciones ,619 
,"343,332 "
Títulos conservados a vencimiento: ,
Valores gubernamentales ,"7,789 "
Cetes Especiales ,"3,542 "
,"11,331 "
Total ,"558,857 "


Table
Emisora / Serie ,Fecha Vencimiento ,% Tasa ,Valor Actualizado 
BANOB 19 ,08/06/2022 ,4.23 ,179 
FBANOBRA 19313 ,16/12/2022 ,4.23 ,501 
FBANOBRA 20022 ,19/01/2023 ,4.22 ,601 
IBANOBRA 21371 ,13/09/2021 ,4.33 ,"2,001 "
IBANOBRA 21292 ,20/07/2021 ,4.30 ,"2,015 "
IBANOBRA 21234 ,10/06/2021 ,4.28 ,"3,040 "
,,Total ,"8,337 "
,,,


Table
La cartera de reporto se integra como sigue: ,Saldo neto de reportos 
Saldos deudores ,
Valores bancarios ,"1,983 "
Valores gubernamentales ,"45,730 "
Total ,"47,713 "
Saldos acreedores ,
Valores bancarios ,"3,943 "
Valores gubernamentales ,"291,436 "
Valores privados ,253 
Total ,"295,632 "
,"(247,919) "


