Table
,,"fecha en que pretenda realizar dicho pago, más Pagos Adicionales, en su caso, (i) por el valor total o un monto parcial en la Fecha de Pago Anticipado Voluntario, o (ii) en su totalidad, pero no de manera parcial y en cualquier fecha, de presentarse un Evento de Amortización Anticipada por Razones Fiscales o un Evento de Amortización por Razones Especiales. "
15 ,Primera y única fecha de pago anticipado voluntario ,"Octubre 1, 2023. "
15A ,La cláusula de amortización anticipada ¿incluye la existencia de una amortización anticipada como consecuencia de un evento fiscal o regulatorio? ,"Si. Evento de Amortización Anticipada por Razones Fiscales El Emisor podrá, en cualquier momento, sujeto al cumplimiento de ciertas condiciones, a opción y discreción del Emisor, amortizar los Instrumentos en su totalidad (hasta el Monto de Principal vigente en ese momento), pero no de forma parcial, al valor nominal más los intereses devengados y no pagados (y que no hubieran sido cancelados), con respecto a los Instrumentos, más los Pagos Adicionales, si los hubiere, hasta, pero excluyendo, la fecha de amortización, sí como resultado de que ocurra cualquier modificación o cambio en las leyes fiscales en México, que afecten y que resulten en una tasa de retención mayor sobre el pago de intereses de los Instrumentos. Evento de Amortización Anticipada por Razones Especiales El Emisor podrá, en cualquier momento, sujeto al cumplimiento de ciertas condiciones, a opción y discreción del Emisor, amortizar los Instrumentos en su totalidad (hasta el Monto de Principal vigente en ese momento), pero no de forma parcial, al valor nominal más los intereses devengados y no pagados (y que no hubieran sido cancelados), con respecto a los Instrumentos, más los Pagos Adicionales, si los hubiere, hasta, pero excluyendo, la fecha de amortización, sí ocurriese una Razón Especial (razón que se presentaría si se determina razonablemente que, como resultado de que ocurra cualquier modificación o cambio en las leyes de México exista más que un riesgo insustancial de que el Emisor no estará facultado a clasificar los Instrumentos como Capital Complementario o que como consecuencia de un Cambio en el Tratamiento Fiscal, existe más que un riesgo insustancial de que los intereses pagaderos por el Emisor sobre los Instrumentos no serán deducibles total o parcialmente por el Emisor para efectos del impuesto sobre la renta aplicable en México, sujeto a ciertas condiciones). "
15B ,Monto total de pago si se realiza una amortización anticipada del Instrumento ,"De realizarse una amortización anticipada, la misma se realizará a valor nominal más los intereses, devengados y no pagados (y que no hubieran sido cancelados), con respecto a los Instrumentos, más los Pagos Adicionales, si los hubiere, hasta, pero excluyendo, la fecha de amortización. "
16 ,Fechas subsecuentes de pago anticipado ,"No hay, salvo por las previstas como consecuencia de Razones Fiscales o Razones Especiales, mismas que se pueden realizar en cualquier momento antes de la Fecha de Vencimiento. "
,Rendimientos / dividendos ,
17 ,Tipo de Tasa de Interés ,"Fija. Sin embargo, la misma se recalculará en la Primera y única fecha de Pago Anticipado Voluntario. La tasa de interés resultante permanecerá fija hasta la Fecha de Vencimiento de la emisión. "
18 ,Tasa de Interés ,5.95%. 


