Table
,1T21 ,4T20 ,1T20 
Tarjetas de crédito ,29.6 ,33.7 ,27.3 
Seguros ,25.5 ,28.9 ,25.5 
Manejo de cuentas ,13.3 ,13.6 ,13.8 
Servicios de cobros y pagos ,12.1 ,10.2 ,12.7 
Asesoría técnica y ofertas públicas ,8.7 ,4.0 ,9.3 
Fondos de inversión ,8.4 ,8.8 ,8.4 
Comercio exterior ,8.0 ,5.7 ,8.5 
Compra venta de valores y operaciones de mercado de ,,,
dinero ,4.0 ,4.1 ,4.5 
Negociación de cheques ,0.6 ,0.8 ,0.9 
Corresponsalías bancarias ,(4.4) ,(4.9) ,(4.5) 
Otras ,(5.8) ,(4.9) ,(6.4) 
Total ,100.0 ,100.0 ,100.0 


