Table
,Número de créditos ,Millones de pesos 
Créditos comerciales ,,
Actividad empresarial o comercial ,743 ,58 
Créditos de consumo ,"272,586 ","14,239 "
Total ,"273,329 ","14,297 "


Table
Millones de pesos ,Criterios Contables Especiales ,Criterio Contable B-6 
Cartera de crédito vigente: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"2,340 ","2,340 "
Créditos de consumo ,"72,486 ","72,093 "
Total de cartera de crédito vigente ,"74,826 ","74,433 "
Cartera de crédito vencida: Créditos comerciales Actividad empresarial o comercial ,21 ,21 


