Table
Nivel de mercado ,Valor observado ,Pago de derechos 
0.00 ,0.00 ,Ps. 90.00 
5.00 ,5.63 ,Ps. 90.00 
10.00 ,11.26 ,Ps. 90.00 
15.00 ,16.89 ,Ps. 90.00 
20.00 ,22.52 ,Ps. 90.00 
25.00 ,28.15 ,Ps. 90.00 
30.00 ,33.78 ,Ps. 90.00 
35.00 ,29.28 ,Ps. 90.00 
40.00 ,45.04 ,Ps. 90.00 
45.00 ,50.67 ,Ps. 90.00 
50.00 ,56.31 ,Ps. 90.00 
55.00 ,61.94 ,Ps. 90.00 
60.00 ,67.57 ,Ps. 90.00 
65.00 ,73.20 ,Ps. 90.00 
70.00 ,78.83 ,Ps. 90.00 
75.00 ,84.46 ,Ps. 90.00 
80.00 ,90.09 ,Ps. 90.00 
85.00 ,95.72 ,Ps. 90.00 
90.00 ,101.35 ,Ps. 90.00 
95.00 ,106.98 ,Ps. 95.00 
100.00 ,112.61 ,Ps. 100.00 
101.00 ,113.74 ,Ps. 100.00 
102.00 ,114.86 ,Ps. 100.00 
105.00 ,118.24 ,Ps. 103.45 
110.00 ,123.87 ,Ps. 109.20 
115.01 ,129.51 ,Ps. 114.96 
117.01 ,131.76 ,Ps. 117.26 
118.01 ,132.89 ,Ps. 108.00 
120.01 ,135.14 ,Ps. 108.00 
125.01 ,140.77 ,Ps. 108.00 
130.01 ,146.40 ,Ps. 108.00 


