Table
20 (conservador) ,Derechos por servicios hipotecarios (monto que excede el umbral del 10%) ,0 
21 ,"Impuestos a la utilidad diferidos a favor provenientes de diferencias temporales (monto que excede el umbral del 10%, neto de impuestos diferidos a cargo) ","6,503 "
22 ,Monto que excede el umbral del 15% ,
23 ,del cual: Inversiones significativas donde la institución posee más del 10% en acciones comunes de instituciones financieras ,
24 ,del cual: Derechos por servicios hipotecarios ,
25 ,del cual: Impuestos a la utilidad diferidos a favor derivados de diferencias temporales ,
26 ,Ajustes regulatorios nacionales ,"29,485 "
A ,del cual: Otros elementos de la utilidad integral (y otras reservas) ,0 
B ,del cual: Inversiones en deuda subordinada ,0 
C ,del cual: Utilidad o incremento el valor de los activos por adquisición de posiciones de bursatilizaciones (Instituciones Originadoras) ,0 
D ,del cual: Inversiones en organismos multilaterales ,0 
E ,del cual: Inversiones en empresas relacionadas ,"27,270 "
F ,del cual: Inversiones en capital de riesgo ,0 
G ,del cual: Inversiones en fondos de inversión ,0 
H ,del cual: Financiamiento para la adquisición de acciones propias ,0 
I ,del cual: Operaciones que contravengan las disposiciones ,0 
J ,del cual: Cargos diferidos y pagos anticipados ,"1,801 "
K ,del cual: Posiciones en Esquemas de Primeras Pérdidas ,0 
L ,del cual: Participación de los Trabajadores en las Utilidades Diferidas ,0 
M ,del cual: Personas Relacionadas Relevantes ,0 
N ,del cual: Plan de pensiones por beneficios definidos ,0 
O ,Se Deroga ,
P ,del cual: Inversiones en cámaras de compensación ,413 
27 ,Ajustes regulatorios que se aplican al capital común de nivel 1 debido a la insuficiencia de capital adicional de nivel 1 y al capital de nivel 2 para cubrir deducciones ,0 
28 ,Ajustes regulatorios totales al capital común de nivel 1 ,"44,882 "
29 ,Capital común de nivel 1 (CET1) ,"114,711 "
,Capital adicional de nivel 1: instrumentos ,
30 ,"Instrumentos emitidos directamente que califican como capital adicional de nivel 1, más su prima ","10,216 "
31 ,de los cuales: Clasificados como capital bajo los criterios contables aplicables ,"10,216 "
32 ,de los cuales: Clasificados como pasivo bajo los criterios contables aplicables ,
33 ,Instrumentos de capital emitidos directamente sujetos a eliminación gradual del capital adicional de nivel 1 ,0 
34 ,Instrumentos emitidos de capital adicional de nivel 1 e instrumentos de capital común de nivel 1 que no se incluyen en el renglón 5 que fueron emitidos por subsidiarias en tenencia de terceros (monto permitido en el nivel adicional 1) ,0 
35 ,del cual: Instrumentos emitidos por subsidiarias sujetos a eliminación gradual ,
36 ,Capital adicional de nivel 1 antes de ajustes regulatorios ,"10,216 "
,Capital adicional de nivel 1: ajustes regulatorios ,
37 (conservador) ,Inversiones en instrumentos propios de capital adicional de nivel 1 ,
38 (conservador) ,Inversiones en acciones recíprocas en instrumentos de capital adicional de nivel 1 ,
39 (conservador) ,"Inversiones en el capital de bancos, instituciones financieras y aseguradoras fuera del alcance de la consolidación regulatoria, netas de las posiciones cortas elegibles, donde la Institución no posea más del 10% del capital social emitido (monto que excede el umbral del 10%) ",


