Table
Millones de pesos ,,,,% Variación ,,,,% Variación 
,1T21 ,4T20 ,1T20 ,TaT ,AaA ,3M21 ,3M20 ,21/20 
Remuneraciones y prestaciones al ,,,,,,,,
personal ,"3,938 ","4,024 ","3,922 ",(2.1) ,0.4 ,"3,938 ","3,922 ",0.4 
Tarjeta de crédito ,52 ,41 ,49 ,26.8 ,6.1 ,52 ,49 ,6.1 
Honorarios profesionales ,185 ,421 ,162 ,(56.1) ,14.2 ,185 ,162 ,14.2 
Rentas ,620 ,646 ,650 ,(4.0) ,(4.6) ,620 ,650 ,(4.6) 
Gastos de promoción y publicidad ,147 ,159 ,215 ,(7.5) ,(31.6) ,147 ,215 ,(31.6) 
Impuestos y derechos ,588 ,705 ,699 ,(16.6) ,(15.9) ,588 ,699 ,(15.9) 
Gastos de tecnología ,"1,297 ","1,743 ","1,025 ",(25.6) ,26.5 ,"1,297 ","1,025 ",26.5 
Depreciaciones y amortizaciones ,"1,182 ","1,161 ","1,015 ",1.8 ,16.5 ,"1,182 ","1,015 ",16.5 
Aportaciones al IPAB ,938 ,976 ,834 ,(3.9) ,12.5 ,938 ,834 ,12.5 
Traslado de valores ,289 ,265 ,360 ,9.1 ,(19.7) ,289 ,360 ,(19.7) 
Otros ,658 ,961 ,854 ,(31.5) ,(23.0) ,658 ,854 ,(23.0) 
Total ,"9,894 ","11,102 ","9,785 ",(10.9) ,1.1 ,"9,894 ","9,785 ",1.1 


Table
,1T21 ,4T20 ,1T20 
Personal ,39.8 ,36.2 ,40.1 
Gastos de tecnología ,13.1 ,15.7 ,10.5 
Depreciación y amortización ,11.9 ,10.5 ,10.4 
IPAB ,9.5 ,8.8 ,8.5 
Otros ,6.7 ,8.6 ,8.7 
Rentas ,6.3 ,5.8 ,6.6 
Impuestos y derechos ,5.9 ,6.4 ,7.1 
Traslado de valores ,2.9 ,2.4 ,3.7 
Honorarios profesionales ,1.9 ,3.8 ,1.7 
Gastos de promoción y publicidad ,1.5 ,1.4 ,2.2 
Tarjeta de crédito ,0.5 ,0.4 ,0.5 
Total ,100.0 ,100.0 ,100.0 


