Table
Millones de pesos ,Importe sin ponderar (promedio) ,Importe ponderado (promedio) 
Activos Líquidos Computables ,,
1 Total de activos líquidos computables ,No aplica ,"238,172 "
Salidas de Efectivo ,,
2 Financiamiento minorista no garantizado ,"281,423 ","15,526 "
3 Financiamiento estable ,"252,336 ","12,617 "
4 Financiamiento menos estable ,"29,087 ","2,909 "
5 Financiamiento mayorista no garantizado ,"414,543 ","156,839 "
6 Depósitos operacionales ,"217,696 ","49,895 "
7 Depósitos no operacionales ,"173,506 ","83,603 "
8 Deuda no garantizada ,"23,341 ","23,341 "
9 Financiamiento mayorista garantizado ,No aplica ,472 
10 Requerimientos adicionales: ,"201,604 ","21,478 "
11 Salidas relacionadas a instrumentos financieros derivados y otros requerimientos de garantías ,"40,797 ","11,732 "
12 Salidas relacionadas a pérdidas del financiamiento de instrumentos de deuda ,0 ,0 
13 Líneas de crédito y liquidez ,"160,806 ","9,747 "
14 Otras obligaciones de financiamiento contractuales ,"84,446 ",393 
15 Otras obligaciones de financiamiento contingentes ,"10,478 ","10,478 "
16 Total de Salidas de Efectivo ,No aplica ,"205,186 "
Entradas de Efectivo ,,
17 Entradas de efectivo por operaciones garantizadas ,"69,951 ","2,292 "
18 Entradas de efectivo por operaciones no garantizadas ,"142,291 ","115,898 "
19 Otras entradas de efectivo ,"5,373 ","5,373 "
20 Total de Entradas de Efectivo ,"217,614 ","123,564 "
,,Importe ajustado 
21 Total de Activos Líquidos Computables ,No aplica ,"238,172 "
22 Total Neto de Salidas de Efectivo ,No aplica ,"82,820 "


Table
Perfil de Riesgo ,Stress todos los factores 
Escenario Probable ,(13) 
Escenario Remoto ,281 
Escenario Posible ,(145) 


