Table
Periodo ,Precio mínimo ,Precio máximo ,Volumen promedio (títulos) 
2016 ,74.23 ,109.36 ,"14,576,910.23 "
2017 ,87.81 ,191.19 ,"14,977,632.62 "
2018 ,131.89 ,210.86 ,"20,258,630.77 "
2019 ,130.60 ,216.38 ,"15,983,655.91 "
2020 ,176.34 ,317.14 ,"19,206,193.89 "
1° Sem. 2019 ,130.60 ,195.21 ,"16,045,557.99 "
2° Sem. 2019 ,153.67 ,216.38 ,"15,922,763.10 "
1° Sem. 2020 ,176.34 ,230.48 ,"18,380,656.76 "
2° Sem. 2020 ,215.95 ,317.14 ,"20,022,757.78 "
octubre 2020 ,288.17 ,317.14 ,"12,134,139.45 "
noviembre 2020 ,255.83 ,310.84 ,"27,383,141.00 "
diciembre 2020 ,222.00 ,267.25 ,"34,809,076.06 "
enero 2021 ,225.60 ,265.92 ,"24,350,787.74 "
febrero 2021 ,237.76 ,270.83 ,"14,890,125.18 "
marzo 2021 ,222.72 ,241.69 ,"16,743,005.81 "


