Table
Millones de pesos ,,,,% ,Variación ,,,% Variación 
,1T21 ,4T20 ,1T20 ,TaT ,AaA ,3M21 ,3M20 ,21/20 
Cancelación de pasivos y reservas ,90 ,457 ,96 ,(80.3) ,(6.3) ,90 ,96 ,(6.3) 
Intereses por préstamos al personal ,47 ,48 ,73 ,(2.1) ,(35.6) ,47 ,73 ,(35.6) 
Estimación para deterioro de bienes adjudicados ,(7) ,(12) ,(5) ,(41.7) ,40.0 ,(7) ,(5) ,40.0 
Utilidad por venta de bienes adjudicados ,103 ,17 ,275 ,- ,(62.5) ,103 ,275 ,(62.5) 
Asesoría técnica y servicios de tecnología ,17 ,(4) ,21 ,- ,(19.0) ,17 ,21 ,(19.0) 
Gastos jurídicos y costos por ,,,,,,,,
recuperación de cartera ,(352) ,(238) ,(122) ,47.9 ,- ,(352) ,(122) ,- 
Primas pagadas Nafin por garantía ,,,,,,,,
cartera Pyme ,(321) ,(429) ,(298) ,(25.2) ,7.7 ,(321) ,(298) ,7.7 
Castigos y quebrantos ,(251) ,(111) ,(236) ,126.1 ,6.4 ,(251) ,(236) ,6.4 
Provisión para contingencias legales y ,,,,,,,,
fiscales ,(54) ,(75) ,(91) ,(28.0) ,(40.7) ,(54) ,(91) ,(40.7) 
Otros ,64 ,(32) ,75 ,- ,(14.7) ,64 ,75 ,(14.7) 
Total ,(664) ,(379) ,(212) ,75.2 ,- ,(664) ,(212) ,- 


