Table
Millones de pesos ,,1T21 ,,,1T20 ,,Variación ,AaA ,
,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio (%) ,Interés (%) ,Tasa (pb) 
Depósitos de exigibilidad inmediata ,"479,667 ","1,572 ",1.31 ,"415,992 ","2,423 ",2.30 ,15.3 ,(35.1) ,(99) 
Depósitos a plazo ,"259,851 ","2,352 ",3.62 ,"272,213 ","4,421 ",6.42 ,(4.5) ,(46.8) ,(280) 
Titulos de crédito emitidos ,"80,840 ","1,233 ",6.10 ,"50,174 ",799 ,6.30 ,61.1 ,54.3 ,(20) 
Préstamos bancarios y de ,,,,,,,,,
otros organismos ,"42,652 ",510 ,4.78 ,"50,824 ","1,030 ",8.02 ,(16.1) ,(50.5) ,(324) 
Obligaciones subordinadas ,"26,442 ",419 ,6.34 ,"25,984 ",413 ,6.29 ,1.8 ,1.5 ,5 
Reportos ,"375,724 ","3,428 ",3.65 ,"299,569 ","4,865 ",6.42 ,25.4 ,(29.5) ,(277) 
Gastos por intereses ,"1,265,176 ","9,514 ",3.01 ,"1,114,756 ","13,951 ",4.95 ,13.5 ,(31.8) ,(194) 


