Table
Total de cartera de crédito vencida ,7 ,7 
,,
Cartera de crédito ,326 ,326 
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,,
Créditos de consumo ,(16) ,(15) 
Total de estimación preventiva para riesgos crediticios ,(16) ,(15) 
Total de cartera de crédito (Neto) ,310 ,311 


Table
Millones de pesos ,,
,Criterios Contables Especiales ,Criterio Contable B-6 
Ingresos por intereses ,50 ,50 
De los cuales: ,,
Intereses de cartera de crédito: ,,
Créditos de consumo ,50 ,50 
Total de ingresos por intereses de cartera de crédito ,50 ,50 
Estimación preventiva para riesgos crediticios ,,
Créditos de consumo ,(10) ,(10) 
Total de estimación preventiva para riesgos crediticios ,(10) ,(10) 


Table
Índice de capitalización ,
Criterios Contables Especiales ,13.22% 
Criterio Contable B-6 ,13.20% 
,(2) pb 


