Table
Emisora ,Clave de pizarra 
"Facebook, Inc. ",FB* 
Energy Select Sector SPDR ,XLE* 
iShares China Large-Cap ETF ,FXI* 
The Coca-Cola Company ,KO* 
"Paypal Holdings, Inc. ",PYPL* 
Intel Corporaton ,INTC* 
Health Care Sector SPDR ,XLV* 
The Walt Disney Company ,DIS* 
Alibaba Group Holding Limited ,BABA N 
Materials Select Sector SPDR ,XLB* 


Table
156.00 ,5985.00 ,Ps. 156.00 
161.00 ,6176.83 ,Ps. 161.00 
166.00 ,6368.66 ,Ps. 166.00 
171.00 ,6560.48 ,Ps. 171.00 
176.00 ,6752.31 ,Ps. 176.00 
181.00 ,6944.14 ,Ps. 181.00 
186.00 ,7135.96 ,Ps. 186.00 
191.00 ,7327.79 ,Ps. 191.00 
196.00 ,7519.62 ,Ps. 196.00 
201.00 ,7711.45 ,Ps. 201.00 
206.00 ,7903.27 ,Ps. 206.00 
211.00 ,8095.10 ,Ps. 211.00 
216.00 ,8286.93 ,Ps. 216.00 
221.00 ,8478.75 ,Ps. 221.00 
226.00 ,8670.58 ,Ps. 226.00 
231.00 ,8862.41 ,Ps. 231.00 


