Table
9 ,"Intangibles, diferentes al crédito mercantil, y en su caso a los derechos por servicios hipotecario, netos de sus impuestos a la utilidad diferidos a cargo, conforme a lo establecido en la fracción I inciso n) del Artículo 2 Bis 6 de las presentes disposiciones. "
,Impuestos a la utilidad diferidos a favor provenientes de pérdidas y créditos fiscales conforme a lo establecido en la fracción I inciso p) del Artículo 2 Bis 6 de las presentes disposiciones. 
10* ,"Este tratamiento es más conservador que lo establecido por el Comité de Supervisión Bancaria de Basilea en su documento ""Basilea III: Marco regulador global para reforzar los bancos y sistemas bancarios"" publicado en junio de 2011, ya que no permite compensar con los impuestos a la utilidad. "
11 ,Resultado por valuación de instrumentos de cobertura de flujos de efectivo que corresponden a partidas cubiertas que no están valuadas a valor razonable. 
,Reservas pendientes de constituir conforme a lo establecido en la fracción I inciso k) del Artículo 2 Bis 6 de las presentes disposiciones. 
12* ,"Este tratamiento es más conservador que lo establecido por el Comité de Supervisión Bancaria de Basilea en su documento ""Basilea III: Marco regulador global para reforzar los bancos y sistemas bancarios"" publicado en junio de 2011, ya que deduce del capital común de nivel 1 las reservas preventivas pendientes de constituirse, de acuerdo con lo dispuesto en el Capítulo V del Título Segundo de las presentes disposiciones, así como aquéllas constituidas con cargo a cuentas contables que no formen parte de las partidas de resultados o del capital contable y no sólo la diferencia positiva entre las Pérdidas Esperadas Totales menos las Reservas Admisibles Totales, en el caso de que las Instituciones utilicen métodos basados en calificaciones internas en la determinación de sus requerimientos de capital. "
13 ,Beneficios sobre el remanente en operaciones de bursatilización conforme a lo establecido en la fracción I inciso c) del Artículo 2 Bis 6 de las presentes disposiciones. 
14 ,No aplica. 
15 ,Inversiones realizadas por el fondo de pensiones de beneficios definidos que corresponden a los recursos a los que la Institución no tiene acceso irrestricto e ilimitado. Estas inversiones se considerarán netas de los pasivos del plan y de los impuestos a la utilidad diferidos a cargo que correspondan que no hayan sido aplicados en algún otro ajuste regulatorio. 
16* ,"El monto de la inversión en cualquier acción propia que la Institución adquiera: de conformidad con lo previsto en la Ley de acuerdo con lo establecido en la fracción I inciso d) del Artículo 2 Bis 6 de las presentes disposiciones; a través de los índices de valores previstos por la fracción I inciso e) del Artículo 2 Bis 6 de las presentes disposiciones, y a través de los fondos de inversión considerados en la fracción I inciso i) del Artículo 2 Bis 6. Este tratamiento es más conservador que el establecido por el Comité de Supervisión Bancaria de Basilea en su documento ""Basilea III: Marco regulador global para reforzar los bancos y sistemas bancarios"" publicado en junio de 2011 debido a que la deducción por este concepto se realiza del capital común de nivel 1, sin importar el nivel de capital en el que se haya invertido. "
17* ,"Inversiones, en capital de sociedades, distintas a las entidades financieras a que se refiere el inciso f) del Artículo 2 Bis 6 de las presentes disposiciones, que sean a su vez, directa o indirectamente accionistas de la propia Institución, de la sociedad controladora del grupo financiero, de las demás entidades financieras integrantes del grupo al que pertenezca la Institución o de las filiales financieras de éstas de conformidad con lo establecido en la fracción I inciso j) del Artículo 2 Bis 6 de las presentes disposiciones, incluyendo aquellas inversiones correspondientes a fondos de inversión considerados en la fracción I inciso i) del Artículo 2 Bis 6. Este tratamiento es más conservador que el establecido por el Comité de Supervisión Bancaria de Basilea en su documento ""Basilea III: Marco regulador global para reforzar los bancos y sistemas bancarios"" publicado en junio de 2011 debido a que la deducción por este concepto se realiza del capital común de nivel 1, sin importar el nivel de capital en el que se haya invertido, y adicionalmente porque se considera a cualquier tipo de entidad, no solo entidades financieras. "


