Table
Cartera Comercial de Grupo Financiero Banorte ,Empresas bajo Modelo ,Interno Básico ,Millones de pesos 
Nivel de Riesgo ,Saldo Contable ,Exposición al Incumplimiento (EI) ,PI ponderada por El 
1 ,"52,468 ","52,851 ",0.24% 
2 ,"64,215 ","64,216 ",0.49% 
3 ,"49,839 ","49,938 ",0.76% 
4 ,"11,027 ","11,028 ",1.24% 
5 ,"3,429 ","3,430 ",2.47% 
6 ,"2,583 ","2,585 ",6.09% 
7 ,"1,672 ","1,672 ",15.05% 
8 ,"1,397 ","1,397 ",33.18% 
9 ,30 ,30 ,62.64% 
Incumplimiento ,412 ,412 ,100.00% 
Total ,"187,071 ","187,559 ",1.25% 


