Table
Ingresos de Intereses Netos (IIN) (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 ,9M19 ,9M20 ,Var. Vs. 9M19 
Ingresos por Intereses ,"34,354 ","31,358 ","28,416 ",(9%) ,(17%) ,"105,357 ","92,435 ",(12%) 
Gastos por Intereses ,"16,512 ","13,019 ","10,057 ",(23%) ,(39%) ,"52,676 ","37,442 ",(29%) 
Comisiones Cobradas ,365 ,346 ,354 ,2% ,(3%) ,"1,024 ","1,061 ",4% 
Comisiones Pagadas ,284 ,270 ,281 ,4% ,(1%) ,844 ,842 ,(0%) 
IIN sin Seguros y Pensiones ,"17,923 ","18,415 ","18,432 ",0% ,3% ,"52,862 ","55,212 ",4% 
Ingresos por Primas (Neto) ,"6,305 ","8,118 ","7,385 ",(9%) ,17% ,"24,790 ","27,658 ",12% 
Reservas Técnicas ,"1,922 ","1,216 ","4,262 ",251% ,122% ,"9,917 ","13,425 ",35% 
"Siniestros, Reclamaciones y Otras Obligaciones ","4,634 ","5,613 ","5,433 ",(3%) ,17% ,"13,812 ","15,638 ",13% 
Resultado Técnico ,(251) ,"1,288 ","(2,310) ",(279%) ,(821%) ,"1,062 ","(1,405) ",(232%) 
Ingresos (Egresos) por Intereses Netos ,"2,442 ",980 ,"4,479 ",357% ,83% ,"6,466 ","9,445 ",46% 
IIN de Seguros y Pensiones ,"2,191 ","2,268 ","2,169 ",(4%) ,(1%) ,"7,528 ","8,040 ",7% 
IIN GFNORTE ,"20,114 ","20,683 ","20,601 ",(0%) ,2% ,"60,390 ","63,252 ",5% 
Provisiones para Crédito ,"4,118 ","8,456 ","3,138 ",(63%) ,(24%) ,"11,582 ","15,938 ",38% 
IIN Ajustado por Riesgos Crediticios ,"15,996 ","12,227 ","17,463 ",43% ,9% ,"48,808 ","47,314 ",(3%) 
Activos Productivos Promedio ,"1,408,741 ","1,566,225 ","1,615,282 ",3% ,15% ,"1,433,932 ","1,548,235 ",8% 
MIN (1) ,5.7% ,5.3% ,5.1% ,,,5.6% ,5.4% ,
MIN ajustado por Provisiones de Crédito (2) ,4.5% ,3.1% ,4.3% ,,,4.5% ,4.1% ,
MIN ajustado sin Seguros y Pensiones ,5.7% ,5.3% ,5.2% ,,,5.5% ,5.4% ,
MIN de Cartera Crediticia (3) ,8.3% ,8.1% ,7.9% ,,,8.0% ,8.1% ,


