Table
Concepto ,Saldos con apoyo COVID ,Efectos en cartera y estimación ,Saldos sin apoyo COVID 
CARTERA DE CRÉDITO VIGENTE ,,,
Créditos comerciales ,"$497,472 ",$ (314) ,"$497,158 "
Créditos al consumo ,"118,321 ",(767) ,"117,554 "
Créditos a la vivienda ,"182,685 ","(1,092) ","181,593 "
TOTAL CARTERA DE CRÉDITO VIGENTE ,"798,478 ","(2,173) ","796,305 "
CARTERA DE CRÉDITO VENCIDA ,,,
Créditos comerciales ,"2,500 ",314 ,"2,814 "
Créditos al consumo ,"2,350 ",767 ,"3,117 "
Créditos a la vivienda ,"1,811 ","1,092 ","2,903 "
TOTAL CARTERA DE CRÉDITO VENCIDA ,"6,661 ","2,173 ","8,834 "
CARTERA DE CRÉDITO ,"805,139 ",- ,"805,139 "
(Menos) ESTIMACION PREVENTIVA PARA RIESGOS CREDITICIOS ,"(17,666) ","(1,019) ","(18,685) "
"CARTERA DE CRÉDITO, (NETA) ","787,473 ","(1,019) ","786,454 "
,,,
TOTAL ACTIVOS ,"1,795,306 ","(1,019) ","1,794,287 "
,,,
Estimación preventiva para riesgos crediticios (Resultados) ,"15,938 ","1,019 ","16,957 "
,,,
RESULTADO NETO ,"24,542 ","(1,019) ","23,523 "
,,,
TOTAL CAPITAL CONTABLE ,"217,371 ","(1,019) ","216,352 "
,,,
TOTAL PASIVO Y CAPITAL CONTABLE ,"$1,795,306 ","($1,019) ","1,794,287 "


