Table
Comisiones por Servicios (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 ,9M19 ,9M20 ,Var. Vs. 9M19 
Transferencia de Fondos ,444 ,476 ,489 ,3% ,10% ,"1,209 ","1,365 ",13% 
Manejo de Cuenta ,579 ,508 ,548 ,8% ,(5%) ,"1,780 ","1,634 ",(8%) 
Servicios de Banca Electrónica ,"2,363 ","2,027 ","2,379 ",17% ,1% ,"6,776 ","6,742 ",(1%) 
Comisiones por Servicios Bancarios Básicos ,"3,387 ","3,012 ","3,415 ",13% ,1% ,"9,766 ","9,742 ",(0%) 
Por Créditos Comerciales y Vivienda * ,280 ,394 ,129 ,(67%) ,(54%) ,808 ,"1,018 ",26% 
Por Créditos de Consumo ,"1,282 ","1,049 ","1,148 ",10% ,(10%) ,"3,739 ","3,439 ",(8%) 
Fiduciario * ,127 ,102 ,113 ,10% ,(11%) ,339 ,333 ,(2%) 
Ingresos por Portafolios Inmobiliarios ,1 ,11 ,6 ,(49%) ,425% ,269 ,22 ,(92%) 
Fondos de Inversión ,462 ,486 ,501 ,3% ,8% ,"1,339 ","1,448 ",8% 
Asesoría e Intermediación Financiera ,131 ,126 ,128 ,1% ,(3%) ,411 ,400 ,(3%) 
Otras Comisiones Cobradas (1) ,259 ,226 ,268 ,18% ,3% ,801 ,825 ,3% 
Comisiones por Servicios Cobrados ,"5,929 ","5,406 ","5,708 ",6% ,(4%) ,"17,472 ","17,229 ",(1%) 
Cuotas de Intercambio ,"1,168 ","1,018 ","1,228 ",21% ,5% ,"3,326 ","3,473 ",4% 
Comisiones de Seguros ,581 ,353 ,317 ,(10%) ,(45%) ,"1,458 ","1,143 ",(22%) 
Otras Comisiones Pagadas ,997 ,966 ,"1,066 ",10% ,7% ,"2,906 ","2,992 ",3% 
Comisiones por Servicios Pagados ,"2,746 ","2,337 ","2,611 ",12% ,(5%) ,"7,691 ","7,608 ",(1%) 
Comisiones por Servicios Netas ,"3,183 ","3,069 ","3,096 ",1% ,(3%) ,"9,781 ","9,620 ",(2%) 


Table
Ingresos por Intermediación (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 ,9M19 ,9M20 ,Var. Vs. 9M19 
Divisas y Metales ,(13) ,(501) ,(309) ,38% ,(2369%) ,(44) ,425 ,N.A. 
Derivados ,"(1,473) ","1,139 ",531 ,(53%) ,N.A. ,(775) ,433 ,N.A. 
Títulos ,155 ,(111) ,80 ,N.A. ,(49%) ,370 ,(198) ,(153%) 
Valuación ,"(1,330) ",527 ,302 ,(43%) ,N.A. ,(449) ,660 ,N.A. 
Divisas y Metales ,471 ,774 ,464 ,(40%) ,(1%) ,778 ,376 ,(52%) 
Derivados ,"2,270 ",(323) ,2 ,N.A. ,(100%) ,"2,473 ","1,422 ",(43%) 
Títulos ,892 ,724 ,359 ,(50%) ,(60%) ,"1,616 ","1,538 ",(5%) 
Compra-venta ,"3,633 ","1,175 ",826 ,(30%) ,(77%) ,"4,866 ","3,336 ",(31%) 
Ingresos por Intermediación ,"2,303 ","1,703 ","1,128 ",(34%) ,(51%) ,"4,417 ","3,996 ",(10%) 


