Table
PASIVOS Y CAPITAL ,Operadora de Fondos Banorte ,IXE Servicios ,Total ,Cargos Eliminaciones Intercompañías ,Créditos Eliminaciones Intercompañías ,Saldo Final 
Captación de Recursos ,- ,- ,"834,137 ","21,032 ",- ,"813,104 "
Depósitos exigibilidad inmediata ,- ,- ,"506,588 ","9,947 ",- ,"496,641 "
Depósitos a plazo ,- ,- ,"278,237 ",78 ,- ,"278,159 "
Depósitos a plazo-Del Público en General ,- ,- ,"251,496 ",78 ,- ,"251,418 "
Depósitos a plazo-Mercado de Dinero ,- ,- ,"26,741 ",- ,- ,"26,741 "
Títulos de crédito emitidos ,- ,- ,"46,823 ","11,007 ",- ,"35,815 "
Cuenta global de captación sin movimientos ,- ,- ,"2,489 ",- ,- ,"2,489 "
Préstamos de Bancos y otros ,- ,- ,"50,949 ","15,541 ",- ,"35,408 "
De exigibilidad inmediata ,- ,- ,0 ,- ,- ,0 
De corto plazo ,- ,- ,"37,726 ","15,541 ",- ,"22,185 "
De largo plazo ,- ,- ,"13,223 ",- ,- ,"13,223 "
Reservas Técnicas ,- ,- ,"183,789 ",- ,77 ,"183,866 "
Valores asignados por liquidar ,- ,- ,- ,- ,- ,- 
Acreedores por reporto ,- ,- ,"353,285 ",657 ,- ,"352,628 "
Colaterales vendidos o dados en garantía ,- ,- ,2 ,- ,- ,2 
Derivados con fines de negociación ,- ,- ,"50,121 ",- ,- ,"50,121 "
Derivados con fines de cobertura ,- ,- ,"7,189 ",- ,- ,"7,189 "
Ajustes de valuación por cobertura de pasivos financieros ,- ,- ,- ,- ,- ,- 
Cuentas por pagar a Reaseguradores y Reafianzadores (Neto) ,- ,- ,"2,918 ",- ,- ,"2,918 "
Otras Cuentas por pagar ,168 ,0 ,"65,616 ",526 ,41 ,"65,131 "
Impuestos a la Utilidad por pagar ,- ,0 ,"3,521 ",- ,- ,"3,521 "
Participación de los trabajadores en la utilidad ,- ,- ,407 ,- ,- ,407 
Acreedores por liquidación de operaciones ,- ,- ,"11,348 ",166 ,- ,"11,182 "
Acreedores por colaterales recibidos en efectivo ,- ,- ,"9,255 ",- ,- ,"9,255 "
Acreedores Diver. yotras ctas. p/pagar ,168 ,0 ,"41,084 ",360 ,41 ,"40,765 "
Obligaciones subordinadas en circulación ,- ,- ,"66,241 ",- ,- ,"66,241 "
Impuestos diferidos (Neto) ,- ,- ,"2,391 ","1,494 ",- ,897 
Créditos diferidos y Cobros Anticipados ,- ,- ,430 ,- ,- ,430 
TOTAL PASIVOS ,168 ,0 ,"1,617,067 ","39,251 ",118 ,"1,577,935 "
CAPITAL ,,,,,,
Capital contribuido ,170 ,144 ,"121,107 ","58,018 ",322 ,"63,410 "
Capital Social ,170 ,144 ,"64,158 ","49,257 ",- ,"14,901 "
Prima en venta de acciones ,- ,- ,"56,948 ","8,761 ",322 ,"48,509 "
Aportaciones para futuros aumentos de capital acordadas por su órgano de gobierno ,- ,- ,- ,- ,- ,- 
Capital Ganado ,"1,071 ",(9) ,"272,424 ","121,565 ",383 ,"151,242 "
Reservas de capital ,34 ,2 ,"29,658 ","20,905 ",- ,"8,753 "
Resultado de ejercicios anteriores ,727 ,(10) ,"197,851 ","78,418 ",300 ,"119,734 "
Res. por valuación de títulos disponibles para la venta ,- ,- ,"3,660 ","1,889 ",- ,"1,771 "
Res. por valuación de instrumentos de cobertura de flujos de efectivo ,- ,- ,"(3,384) ","(1,707) ",- ,"(1,677) "
Resultado en la Valuación de la Reserva de Riesgos en curso por variaciones en las tasas ,- ,- ,(379) ,(189) ,- ,(190) 
Efecto acumulado por conversión ,- ,- ,541 ,272 ,- ,269 
Exceso (insuf.) en la actualiz. del Cap. Cont. ,- ,- ,- ,- ,- ,- 
Remediciones por beneficios definidos a los empleados ,- ,- ,"(3,979) ","(2,019) ",- ,"(1,960) "
Resultado neto ,310 ,(1) ,"48,456 ","23,997 ",82 ,"24,542 "
Capital Mayoritario ,"1,241 ",136 ,"393,531 ","179,583 ",704 ,"214,652 "
Participación no controladora ,- ,- ,461 ,- ,"2,258 ","2,719 "
Total Capital Contable ,"1,241 ",136 ,"393,991 ","179,583 ","2,963 ","217,371 "
TOTAL PASIVOS YCAPITAL ,"1,410 ",136 ,"2,011,058 ","218,834 ","3,081 ","1,795,306 "


