Table
Gasto No Financiero (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 ,9M19 ,9M20 ,Var. Vs. 9M19 
Gastos de Personal ,"4,258 ","3,891 ","4,037 ",4% ,(5%) ,"11,757 ","11,857 ",1% 
Honorarios Pagados ,941 ,801 ,861 ,7% ,(8%) ,"2,475 ","2,411 ",(3%) 
Gastos de Administración y Promoción ,"2,180 ","2,032 ","2,075 ",2% ,(5%) ,"6,316 ","6,489 ",3% 
"Rentas, Depreciaciones y Amortizaciones ","1,772 ","2,047 ","2,074 ",1% ,17% ,"5,083 ","6,068 ",19% 
Otros Impuestos y Gastos No deducibles ,484 ,483 ,496 ,3% ,3% ,"1,618 ","1,478 ",(9%) 
Aportaciones al IPAB ,821 ,919 ,951 ,3% ,16% ,"2,489 ","2,699 ",8% 
PTU causado ,122 ,133 ,133 ,0% ,9% ,368 ,398 ,8% 
Gasto No Financiero ,"10,578 ","10,307 ","10,627 ",3% ,0% ,"30,106 ","31,400 ",4% 


Table
Utilidad Neta (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 ,9M19 ,9M20 ,Var. Vs. 9M19 
Resultado Neto de Operación ,"11,626 ","7,832 ","11,717 ",50% ,1% ,"36,418 ","31,654 ",(13%) 
Participación en el Resultado de Subsidiarias y Asociadas no consolidadas ,451 ,648 ,492 ,(24%) ,9% ,"1,328 ","1,493 ",12% 
Resultado antes de Impuestos ,"12,077 ","8,480 ","12,208 ",44% ,1% ,"37,746 ","33,147 ",(12%) 
Impuestos ,"3,094 ","1,886 ","3,178 ",69% ,3% ,"9,844 ","8,293 ",(16%) 
Partidas Discontinuadas ,- ,- ,- ,N.A. ,N.A. ,- ,- ,N.A. 
Participación no controladora ,(125) ,(75) ,(124) ,(65%) ,1% ,(383) ,(313) ,18% 
Utilidad Neta ,"8,858 ","6,518 ","8,906 ",37% ,1% ,"27,518 ","24,542 ",(11%) 


Table
Otros Ingresos y Egresos de la Operación (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 ,9M19 ,9M20 ,Var. Vs. 9M19 
Portafolios de Crédito ,86 ,63 ,90 ,43% ,4% ,230 ,233 ,1% 
Resultado por Bienes Adjudicados ,177 ,132 ,165 ,25% ,(7%) ,339 ,385 ,13% 
Deterioro de Activos ,- ,- ,- ,N.A. ,NA ,(132) ,(55) ,58% 
Ingresos por Arrendamiento ,119 ,77 ,11 ,(86%) ,(91%) ,303 ,188 ,(38%) 
Provenientes de Seguros ,240 ,322 ,198 ,(38%) ,(18%) ,758 ,731 ,(4%) 
Resultado por Valuación en Op. de Bursatilización ,37 ,6 ,15 ,172% ,(59%) ,113 ,52 ,(54%) 
Otros ,61 ,541 ,178 ,(67%) ,191% ,"1,908 ",590 ,(69%) 
Otros Ingresos (Egresos) de la Operación ,722 ,"1,140 ",656 ,(42%) ,(9%) ,"3,518 ","2,124 ",(40%) 


