Table
,Con Reservas ,Sin Reservas 
,Adicionales ,Adicionales 
,+1.46 pp ,+1.61 pp 
1. Utilidades generadas en el 3T20 ,+ 1.11 pp ,+ 1.11 pp 
2. Notas de Capital ,+ 0.90 pp ,+ 0.90 pp 
3. Valuación de Instrumentos Financieros y Derivados de Cobertura* ,+ 0.10 pp ,+ 0.10 pp 
4. Efecto Temporal en Capital Complementario por reservas adicionales ,+0.19 pp ,0.00 pp 
5. Reservas Adicionales ,0.38 pp ,0.00 pp 
6. Inversiones Permanentes e Intangibles y otros efectos en Capital ,- 0.21 pp ,0.21 pp 
7. Crecimiento en Activos en Riesgo ,- 0.26 pp ,0.30 pp 


Table
,Con Reservas Adicionales ,Sin Reservas Adicionales 
,+0.79 pp ,-0.94 pp 
1. Utilidades generadas en el periodo ,+ 2.96 pp ,+ 2.96 pp 
2. Otros efectos de Capital ,+ 0.91 pp ,+ 0.91 pp 
3. Notas de Capital* ,+ 0.69 pp ,+ 0.69 pp 
4. Valuación de Instrumentos Financieros y Derivados de Cobertura ** ,+0.17 pp ,+0.17 pp 
5. Efecto Temporal en Capital Complementario por reservas adicionales ,+0.19 pp ,0.00 pp 
6. Reservas Adicionales ,- 0.38 pp ,0.00 pp 
7. Inversiones Permanentes e Intangibles ,- 0.13 pp ,- 0.13 pp 
8. Pago de Dividendos entre 3T19 y 4T19 ,- 0.72 pp ,- 0.72 pp 
9. Crecimiento de Activos en Riesgo ,- 2.90 pp ,2.94 pp 


