Table
Provisiones para Crédito (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 ,9M19 ,9M20 ,Var. Vs. 9M19 
"Comercial, Corporativo : y Gobierno ",172 ,"2,548 ",236 ,(91%) ,37% ,588 ,"3,692 ",528% 
Consumo ,"4,057 ","2,760 ","2,997 ",9% ,(26%) ,"10,999 ","9,353 ",(15%) 
"Condonaciones, Quitas y Otros ",(111) ,148 ,(95) ,(164%) ,14% ,(5) ,(107) ,(2189%) 
Provisiones Adicionales ,- ,"3,000 ",- ,(100%) ,N.A. ,- ,"3,000 ",N.A. 
Total Provisiones ,"4,118 ","8,456 ","3,138 ",(63%) ,(24%) ,"11,582 ","15,938 ",38% 


Table
Ingresos No Financieros (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 ,9M19 ,9M20 ,Var. Vs. 9M19 
Comisiones por Servicios Netas ,"3,183 ","3,069 ","3,096 ",1% ,(3%) ,"9,781 ","9,620 ",(2%) 
Intermediación ,"2,303 ","1,703 ","1,128 ",(34%) ,(51%) ,"4,417 ","3,996 ",(10%) 
Otros Ingresos (Egresos) de la Operación ,722 ,"1,140 ",656 ,(42%) ,(9%) ,"3,518 ","2,124 ",(40%) 
Ingresos No Financieros ,"6,208 ","5,911 ","4,880 ",(17%) ,(21%) ,"17,716 ","15,741 ",(11%) 


