Table
,,CAPITAL CONTRIBUIDO ,,,,,CAPITAL ,GANADO ,,,
,,,,,,,,,,,
Saldos al 31 de Diciembre de 2019 ,"18,795 ","2,123 ","17,330 ","50,883 ","1,885 ","(2,287) ",(34) ,"(1,930) ","27,493 ",3 ,"114,261 "
Movim. inherentes a las decis. de los accionistas ,,,,,,,,,,,
Aplicación de utilidades ,,,,"27,493 ",,,,,"(27,493) ",,0 
Creación de Reservas según Asamblea General Ordinaria Anual de Accionistas del día 24 de Abril del 2020. ,,,"1,629 ","(1,629) ",,,,,,,0 
Plan de pagos basado en acciones liquidables en instrumentos de capital ,,626 ,,,,,,,,,626 
Adquisición de acciones de Inmobiliaria Interin para su posterior Fusión ,,(2) ,,,,,,,,,(2) 
Total ,0 ,624 ,"1,629 ","25,864 ",0 ,0 ,0 ,0 ,"(27,493) ",0 ,624 
Movimientos inherentes al reconocimiento de la utilidad integral ,,,,,,,,,,,
Utilidad Integral: ,,,,,,,,,,,
Resultado neto ,,,,,,,,,"16,483 ",,"16,483 "
Resultado por Valuación de títulos disponibles para la venta ,,,,,(89) ,,,,,,(89) 
Efecto de subsidiarias asociadas ysociedades de ,,,,,,,,,,,
inversion ,,,,(7) ,,,,,,,(7) 
Efecto acumulado por conversión ,,,,,,,149 ,,,,149 
Resultado por Valuación de Instrumentos de cobertura de flujos de efectivo ,,,,,,580 ,,,,,580 
Remediciones por beneficios definidos a los empleados ,,,,(27) ,,,,(101) ,,,(128) 
Intereses de obligaciónes subordinadas ,,,,"(2,433) ",,,,,,,"(2,433) "
Total ,0 ,0 ,0 ,"(2,467) ",(89) ,580 ,149 ,(101) ,"16,483 ",0 ,"14,555 "
Participación no controladora ,,,,,,,,,,,0 
Saldos al 30 de septiembre de 2020 ,"18,795 ","2,747 ","18,959 ","74,280 ","1,796 ","(1,707) ",115 ,"(2,031) ","16,483 ",3 ,"129,440 "


