Table
Depósitos (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 
Depósitos a la Vista - Sin Intereses ,"266,731 ","307,945 ","308,843 ",0% ,16% 
Depósitos a la Vista - Con Intereses ,"134,652 ","173,566 ","200,234 ",15% ,49% 
Depósitos a la Vista ,"401,383 ","481,510 ","509,077 ",6% ,27% 
Depósitos a Plazo - Ventanilla ,"235,703 ","224,368 ","219,636 ",(2%) ,(7%) 
Depósitos ,"637,086 ","705,879 ","728,713 ",3% ,14% 
Mesa de Dinero y Tit. de Crédito Emitidos ,"89,334 ","115,842 ","105,423 ",(9%) ,18% 
Captación Integral Banco ,"726,420 ","821,721 ","834,137 ",2% ,15% 
Depósitos Total GFNorte ,"722,039 ","801,148 ","813,104 ",1% ,13% 
Depósitos por cuenta de terceros ,"184,906 ","171,834 ","181,291 ",6% ,(2%) 
Total de Recursos en Administración ,"911,325 ","993,555 ","1,015,428 ",2% ,11% 


Table
Cartera de Crédito Vigente (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 
Hipotecario ,"166,286 ","177,282 ","182,685 ",3% ,10% 
Automotriz ,"25,889 ","26,667 ","27,394 ",3% ,6% 
Tarjeta de Crédito ,"39,028 ","37,443 ","38,585 ",3% ,(1%) 
Crédito de Nómina ,"52,096 ","51,491 ","52,342 ",2% ,0% 
Consumo ,"283,298 ","292,883 ","301,005 ",3% ,6% 
Comercial ,"167,839 ","186,092 ","188,237 ",1% ,12% 
Corporativo ,"123,767 ","149,945 ","146,626 ",(2%) ,18% 
Gobierno ,"157,821 ","162,717 ","162,609 ",(0%) ,3% 
Total ,"732,726 ","791,637 ","798,478 ",1% ,9% 


