Table
Saldo al 30 junio 2020 ,"9,254 "
Traspasos de cartera Vigente a Vencida ,"4,132 "
Compra de Cartera ,- 
Renovaciones ,(85) 
Pago Efectivo ,(388) 
Quitas ,(375) 
Castigos ,"(4,056) "
Adjudicaciones ,(5) 
Traspasos de cartera Vencida a Vigente ,"(1,687) "
Ventas de Cartera ,(132) 
Ajuste Cambiario ,2 
Valor Razonable Ixe ,- 
Saldo al 30 septiembre 2020 ,"6,660 "


Table
,,,RESERVAS ,PREVENTIVAS ,,,
Categoría ,CARTERA CREDITICIA ,,COMERCIAL ,,,,
,,EMPRESARIAL ,GUBERNAMENTAL ,ENT. FINANCIERAS ,CONSUMO ,VIVIENDA ,TOTAL 
Riesgo A1 ,"697,885 ","1,018 ",572 ,68 ,522 ,260 ,"2,439 "
Riesgo A2 ,"36,787 ",167 ,60 ,12 ,310 ,39 ,588 
Riesgo B1 ,"29,403 ",57 ,69 ,1 ,789 ,17 ,933 
Riesgo B2 ,"13,841 ",50 ,11 ,0 ,454 ,20 ,535 
Riesgo B3 ,"22,603 ",174 ,183 ,6 ,741 ,11 ,"1,115 "
Riesgo C1 ,"12,550 ",144 ,79 ,0 ,737 ,54 ,"1,015 "
Riesgo C2 ,"14,360 ",170 ,101 ,- ,"1,343 ",141 ,"1,756 "
Riesgo D ,"9,376 ",885 ,128 ,- ,"1,915 ",429 ,"3,356 "
Riesgo E ,"3,104 ",313 ,- ,- ,"1,837 ",80 ,"2,230 "
Total Calificada ,"839,908 ","2,978 ","1,204 ",87 ,"8,648 ","1,050 ","13,966 "
Sin Calificar ,"(1,468) ",,,,,,
Exceptuada ,- ,,,,,,
Total ,"838,440 ","2,978 ","1,204 ",87 ,"8,648 ","1,050 ","13,966 "
Reservas Constituidas ,,,,,,,"17,666 "
Reservas complementarias ,,,,,,,"3,699 "


