Table
Resultado por intermediación ,Consolidado 
Resultado por valuación a valor razonable ,235 
Títulos para negociar ,(198) 
Derivados con fines de negociación ,444 
Derivados con fines de cobertura ,(11) 
Pérdida por deterioro o incremento por revaluación ,0 
Resultado por valuación de divisas ,403 
Resultado por valuación de metales preciosos o amonedados ,21 
Resultado por compraventa de valores e instrumentos financieros derivados ,"2,960 "
Títulos para negociar ,506 
Títulos disponibles para la venta ,"1,032 "
Derivados con fines de cobertura ,"1,422 "
Resultado por compraventa de divisas ,369 
Resultado por compraventa de metales precios amonedados ,7 
Total ,"3,996 "


Table
,,3T19 ,,,2T20 ,,,3T20 ,
,Línea ,Dispuesto ,% dispuesto ,Línea ,Dispuesto ,% dispuesto ,Línea ,Dispuesto ,% dispuesto 
Contrapartes Bancarias (Call Money) ,"174,085 ","8,464 ",4.9% ,"177,020 ","2,500 ",1.4% ,"176,193 ","1,886 ",1.1% 
Banxico Reportos p/Liq. al Sistema de Pagos (RSP)* ,"63,426 ","7,816 ",12.3% ,"79,886 ",- ,0.0% ,"84,545 ","7,803 ",9.2% 
Banxico Subasta Financiamiento USD* ,"42,851 ",- ,0.0% ,"42,170 ","33,563 ",79.6% ,"52,971 ","8,951 ",16.9% 
Banxico c/Gtía Tit. Gub. y Banc. (Facilidades Ordinarias)* ,"42,851 ",- ,0.0% ,"42,170 ",- ,0.0% ,"52,971 ",- ,0.0% 
Banxico c/Gtía Créditos GEM (Facilidades Extraordinarias) ,"87,361 ",- ,0.0% ,"95,835 ",- ,0.0% ,"96,708 ",- ,0.0% 
TOTAL ,"410,573 ","16,280 ",4.0% ,"437,080 ","36,063 ",8.3% ,"463,388 ","18,640 ",4.0% 


Table
Depósitos Exigibilidad Inmediata ,
Moneda Nacional y UDIs ,1.22% 
Moneda Extranjera ,0.03% 
Depósitos a Largo Plazo - del Público en General ,
Moneda Nacional y UDIs ,3.63% 
Moneda Extranjera ,0.26% 
Depósitos a Largo Plazo - Mesa de Dinero Moneda Nacional y UDIs ,4.74% 
PRÉSTAMOS DE BANCOS Y OTROS (BANORTE) ,
De Exigibilidad Inmediata ,
Moneda Nacional y UDIs ,5.63% 
Banca de Fomento y Desarrollo ,
Moneda Nacional y UDIs ,7.94% 
Moneda Extranjera ,0.11% 


