Table
Provisiones para Crédito (Millones de Pesos) ,2T19 ,1T20 ,2T20 ,Var. 1T20 ,Vs. 2T19 ,1S19 ,1S20 ,Var. Vs. 1S19 
"Comercial, Corporativo y Gobierno ",168 ,908 ,"2,541 ",180% ,1412% ,416 ,"3,449 ",729% 
Consumo ,"3,553 ","3,595 ","2,836 ",(21%) ,(20%) ,"6,942 ","6,431 ",(7%) 
"Condonaciones, Quitas y Otros ",7 ,(159) ,79 ,N.A. ,1004% ,106 ,(81) ,(176%) 
Provisiones Adicionales ,- ,- ,"3,000 ",N.A. ,N.A. ,- ,"3,000 ",N.A. 
Total Provisiones ,"3,728 ","4,344 ","8,456 ",95% ,127% ,"7,464 ","12,800 ",71% 


Table
Ingresos No Financieros (Millones de Pesos) ,2T19 ,1T20 ,2T20 ,Var. 1T20 ,Vs. 2T19 ,1S19 ,1S20 ,Var. Vs. 1S19 
Comisiones por Servicios Netas ,"3,630 ","3,455 ","3,069 ",(11%) ,(15%) ,"6,598 ","6,524 ",(1%) 
Intermediación ,963 ,"1,166 ","1,703 ",46% ,77% ,"2,114 ","2,869 ",36% 
Otros Ingresos (Egresos) de la Operación ,653 ,327 ,"1,140 ",248% ,75% ,"2,796 ","1,467 ",(48%) 
Ingresos No Financieros ,"5,246 ","4,949 ","5,911 ",19% ,13% ,"11,508 ","10,860 ",(6%) 


