Table
Concepto ,Saldos con apoyo COVID ,Efectos en cartera y estimación ,Saldos sin apoyo COVID 
CARTERA DE CRÉDITO VIGENTE ,,,
Créditos comerciales ,"$498,754 ",$ ,"$498,754 "
Créditos al consumo ,"115,601 ",(143) ,"115,458 "
Créditos a la vivienda ,"177,282 ",(271) ,"177,011 "
TOTAL CARTERA DE CRÉDITO VIGENTE ,"791,637 ",(355) ,"791,222 "
CARTERA DE CRÉDITO VENCIDA ,,,
Créditos comerciales ,"2,720 ",- ,"2,720 "
Créditos al consumo ,"4,229 ",143 ,"4,372 "
Créditos a la vivienda ,"2,305 ",271 ,"2,576 "
TOTAL CARTERA DE CRÉDITO VENCIDA ,"9,254 ",415 ,"9,669 "
CARTERA DE CRÉDITO ,"800,891 ",- ,"800,891 "
(Menos) ESTIMACION PREVENTIVA PARA RIESGOS CREDITICIOS ,"(18,555) ",(860) ,"(19,415) "
"CARTERA DE CRÉDITO, (NETA) ","782,336 ",(860) ,"781,476 "
,,,
TOTAL ACTIVOS ,"1,783,581 ",(860) ,"1,782,721 "
,,,
Estimación preventiva para riesgos crediticios (Resultados) ,"12,800 ",860 ,"13,660 "
,,,
RESULTADO NETO ,"15,636 ",(860) ,"14,776 "
,,,
TOTAL CAPITAL CONTABLE ,"208,344 ",(860) ,"207,484 "
,,,
TOTAL PASIVO Y CAPITAL CONTABLE ,"$1,783,581 ",($860) ,"1,782,721 "


