Table
Provisiones preventivas para Riesgos Crediticios (Millones de Pesos) ,2T20 
Provisiones Preventivas Iniciales ,"18,504 "
Cargos a resultados ,"8,846 "
Cargos a utilidades retenidas ,0 
Creadas con Margen de Utilidad ,0 
Reserva de Carteras Vendidas ,0 
Otros Conceptos ,-86 
"Castigos, condonaciones y quitas: ",
Créditos Comerciales ,"(5,054) "
Créditos al Consumo ,"(3,087) "
Créditos a la Vivienda ,(620) 
Por Bienes Adjudicados ,0 
,"(8,762) "
Costo de Programas de Apoyo a ,
Deudores ,(1) 
Valorización ,(32) 
Eliminaciones ,86 
Provisiones Preventivas Finales ,"18,555 "


Table
(Millones de Pesos) ,2T20 
Cartera Emproblemada ,"3,271 "
Cartera Total ,"832,876 "
Cartera Emproblemada/ Cartera Total ,0.4% 


