Table
Banco - Balance General (Millones de Pesos) ,1T19 ,2T19 ,3T19 ,4T19 ,1T20 ,2T20 
ACTIVOS ,,,,,,
Disponibilidades ,"71,563 ","53,955 ","55,470 ","62,282 ","88,668 ","105,537 "
Cuentas de Margen ,"3,508 ","4,408 ","6,245 ","5,926 ","9,701 ","18,353 "
Títulos para negociar ,"100,271 ","71,098 ","75,687 ","75,169 ","79,968 ","95,379 "
Títulos disponibles para la venta ,"138,523 ","154,921 ","155,394 ","152,630 ","157,021 ","184,050 "
Títulos conservados a vencimiento ,"8,456 ","7,886 ","19,755 ","19,593 ","19,711 ","19,497 "
Inversiones en Valores ,"247,250 ","233,906 ","250,836 ","247,392 ","256,700 ","298,926 "
Valores no asignados por liquidar ,- ,- ,- ,- ,- ,- 
Deudores por reporto (saldo deudor) ,3 ,11 ,162 ,"2,016 ","1,930 ","1,928 "
Préstamo de Valores ,- ,- ,- ,- ,- ,- 
Con fines de negociación ,"23,793 ","25,473 ","26,398 ","22,295 ","48,940 ","61,705 "
Con fines de cobertura ,15 ,29 ,29 ,162 ,"1,292 ","2,384 "
Operaciones con valores y derivadas ,- ,- ,- ,- ,- ,- 
Operaciones con Derivados ,"23,807 ","25,502 ","26,427 ","22,457 ","50,232 ","64,089 "
Operaciones con Valores y Derivadas ,"23,810 ","25,513 ","26,590 ","24,473 ","52,162 ","66,017 "
Ajustes de valuación por cobertura de activos ,80 ,77 ,73 ,69 ,65 ,62 
Créditos Comerciales ,"272,884 ","268,146 ","258,389 ","266,442 ","288,409 ","300,483 "
Créditos a Entidades Financieras ,"22,708 ","20,351 ","18,287 ","20,595 ","24,011 ","23,733 "
Créditos al Consumo ,"112,105 ","113,803 ","115,413 ","116,228 ","116,200 ","115,593 "
Créditos a la Vivienda ,"158,605 ","162,619 ","166,286 ","170,086 ","173,226 ","177,282 "
Media y Residencial ,"155,134 ","159,294 ","162,995 ","166,921 ","170,143 ","174,331 "
De interés social ,13 ,12 ,10 ,9 ,8 ,5 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,"3,457 ","3,314 ","3,280 ","3,156 ","3,075 ","2,946 "
Remodelación o mejoramiento con garantía ,- ,- ,- ,- ,- ,- 
otorgada por la banca de desarrollo o fideicomisos ,,,,,,
Créditos a Entidades Gubernamentales ,"179,434 ","185,133 ","157,242 ","170,155 ","161,246 ","161,457 "
Créditos otorgados en calidad de Agente del ,- ,- ,- ,- ,- ,- 
Gobierno Federal ,,,,,,
Cartera de Crédito Vigente ,"745,735 ","750,052 ","715,617 ","743,507 ","763,091 ","778,548 "
Créditos Comerciales ,"7,418 ","7,810 ","7,600 ","6,147 ","6,700 ","2,240 "
Créditos a Entidades Financieras ,4 ,4 ,4 ,4 ,4 ,- 
Créditos al Consumo ,"4,115 ","4,659 ","4,514 ","4,268 ","4,018 ","4,229 "
Créditos a la Vivienda ,"1,557 ","1,696 ","1,807 ","1,973 ","2,070 ","2,305 "
Media y Residencial ,"1,417 ","1,526 ","1,634 ","1,785 ","1,834 ","2,025 "
De interés social ,0 ,0 ,0 ,0 ,0 ,1 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,139 ,170 ,172 ,187 ,235 ,279 
Remodelación o mejoramiento con garantía otorgada por la banca de desarrollo o fideicomisos ,- ,- ,- ,- ,- ,- 
Créditos a Entidades Gubernamentales ,0 ,0 ,0 ,0 ,35 ,111 
Cartera de Crédito Vencida ,"13,095 ","14,170 ","13,925 ","12,392 ","12,827 ","8,885 "
Cartera de Crédito Total ,"758,830 ","764,222 ","729,542 ","755,899 ","775,918 ","787,433 "
Prov. Prev. Riesgos Crediticios ,"17,822 ","18,070 ","17,617 ","17,083 ","17,932 ","18,075 "
Cartera de Crédito Neto ,"741,008 ","746,152 ","711,925 ","738,816 ","757,986 ","769,358 "
Derechos de cobro adquiridos ,"1,864 ","1,720 ","1,560 ","1,359 ","1,261 ","1,438 "
Total de cartera de crédito (neto) ,"742,872 ","747,872 ","713,485 ","740,175 ","759,247 ","770,796 "
Beneficios por recibir en operaciones de Bursatilización ,85 ,125 ,158 ,139 ,161 ,156 
"Otras Cuentas por cobrar, neto ","43,371 ","55,248 ","65,982 ","29,410 ","83,264 ","48,306 "
Inventario de Mercancías ,- ,- ,- ,- ,- ,- 
Bienes Adjudicados (neto) ,770 ,606 ,701 ,860 ,818 ,800 
"Propiedades, Mobiliario y equipo (Neto) ","13,667 ","14,010 ","14,360 ","15,088 ","15,167 ","26,482 "
Inversiones permanentes ,362 ,422 ,413 ,418 ,468 ,491 
Activos de larga duración disponibles para la venta ,- ,- ,- ,- ,- ,- 
"Impuestos diferidos, neto ","3,328 ","2,572 ","2,215 ","1,104 ","4,351 ","1,126 "
"Cargos diferidos, pagos anticipados e intangibles ","21,490 ","21,409 ","20,677 ","21,979 ","22,727 ","11,470 "
Otros activos a corto y largo plazo ,226 ,209 ,228 ,223 ,146 ,106 
,"83,299 ","94,599 ","104,734 ","69,220 ","127,103 ","88,937 "
TOTAL ACTIVOS ,"1,172,383 ","1,160,329 ","1,157,433 ","1,149,536 ","1,293,647 ","1,348,628 "


