Table
Títulos Conservados al Vencimiento ,Valor en Libros ,Intereses ,Valuación ,Valor de Mercado 
Valores gubernamentales ,"162,378 ",450 ,- ,"162,828 "
Sin restricción ,"146,905 ",350 ,- ,"147,254 "
BONDES D ,- ,- ,- ,- 
BONDES M ,243 ,2 ,- ,245 
BPA ,- ,- ,- ,- 
BREMS ,- ,- ,- ,- 
Certificados Bursátiles Gubernamental ,"1,618 ",23 ,- ,"1,641 "
Certificados Bursátiles Municipales ,"2,133 ",43 ,- ,"2,176 "
Certificados Bursátiles Udizados ,223 ,2 ,- ,225 
CETES ,- ,- ,- ,- 
CETES Especial ,578 ,- ,- ,578 
Eurobonos gubernamentales ,- ,- ,- ,- 
Udibonos ,"142,109 ",281 ,- ,"142,389 "
Treasury Notes ,- ,- ,- ,- 
Restringidos ,"15,474 ",100 ,- ,"15,574 "
BONDES D ,- ,- ,- ,- 
BONDES M ,"12,559 ",87 ,- ,"12,647 "
BPA ,- ,- ,- ,- 
BREMS ,- ,- ,- ,- 
Certificados Bursátiles Gubernamental ,- ,- ,- ,- 
Certificados Bursátiles Municipales ,"2,915 ",12 ,- ,"2,927 "
Certificados Bursátiles Udizados ,o ,o ,- ,o 
CETES ,- ,- ,- ,- 
CETES Especial ,- ,- ,- ,- 
Eurobonos gubernamentales ,- ,- ,- ,- 
Udibonos ,- ,- ,- ,- 
,,,,
Valores bancarios ,"1,264 ",884 ,- ,"2,148 "
Sin restricción ,"1,264 ",884 ,- ,"2,148 "
Aceptaciones Bancarias ,- ,- ,- ,- 
Bonos Bancarios ,- ,- ,- ,- 
Certificados Bursátiles Banca de Desarrollo ,- ,- ,- ,- 
Certificados Bursátiles Bancarios ,784 ,16 ,- ,800 
Certificados de Depósitos ,300 ,692 ,- ,992 
Notas Estructuradas ,180 ,177 ,- ,357 
Otros títulos bancarios ,- ,- ,- ,- 
Pagarés ,- ,- ,- ,- 
Con restricción ,- ,- ,- ,- 
Aceptaciones Bancarias ,- ,- ,- ,- 
Bonos Bancarios ,- ,- ,- ,- 
Certificados Bursátiles Banca de Desarrollo ,- ,- ,- ,- 
Certificados Bursátiles Bancarios ,- ,- ,- ,- 
Certificados de Depósitos ,- ,- ,- ,- 
Notas Estructuradas ,- ,- ,- ,- 
Otros títulos bancarios ,- ,- ,- ,- 
Pagarés ,- ,- ,- ,- 
,,,,
Valores privados ,"4,121 ",764 ,- ,"4,885 "
Sin restricción ,"2,275 ",759 ,- ,"3,034 "
Acciones ,- ,- ,- ,- 
Acciones Sociedades de Inversión ,- ,- ,- ,- 
ADRs ,- ,- ,- ,- 
Certificados Bursátiles BORHIS ,2 ,o ,- ,2 
Certificados Bursátiles Corporativos ,993 ,759 ,- ,"1,752 "
Certificados Bursátiles Fiduciarios ,- ,- ,- ,- 
Eurobonos Privados ,- ,- ,- ,- 
FIBRAS ,- ,- ,- ,- 
Obligaciones Subordinadas ,- ,- ,- ,- 
Otros títulos bancarios ,"1,280 ",- ,- ,"1,280 "
Papel Comercial ,- ,- ,- ,- 
Restringidos ,"1,847 ",4 ,- ,"1,851 "
Acciones ,- ,- ,- ,- 
Certificados Bursátiles BORHIS ,- ,- ,- ,- 
Certificados Bursátiles Corporativos ,"1,847 ",4 ,- ,"1,851 "
Certificados Bursátiles Fiduciarios ,- ,- ,- ,- 
Eurobonos Privados ,- ,- ,- ,- 
Otros títulos bancarios ,- ,- ,- ,- 
Ajuste valor razonable Adq Ixe Banco ,(347) ,- ,- ,(347) 
Total ,"167,417 ","2,098 ",- ,"169,514 "


