Table
,Con Reservas Adicionales ,Sin Reservas Adicionales 
1. Utilidades generadas en el periodo ,+ 3.01 pp ,+ 3.01 pp 
"2. Inversiones Permanentes, Intangibles y Otros Efectos de Capital ",+ 1.01 pp ,+ 0.77 pp 
3. Valuación de Instrumentos Financieros y Derivados de Cobertura * ,+0.23 pp ,+ 0.23 pp 
4. Reservas Adicionales ,- 0.38 pp ,0.00 pp 
5. Notas de Capital*** ,- 0.14 pp ,0.14 pp 
6. Pago de Dividendos entre 3T19 y 4T19 ,- 1.40 pp ,1.40 pp 
7. Crecimiento de Activos en Riesgo ,- 2.57 pp ,- 2.61 pp 


Table
,Con Reservas Adicionales ,Sin Reservas Adicionales 
"1. Inversiones Permanentes, Intangibles y Otros Efectos de Capital ",+ 1.16 pp ,+ 0.92 pp 
2. Valuación de Instrumentos Financieros y Derivados de Cobertura* ,+ 0.72 pp ,+0.72 pp 
3. Utilidades generadas en el 2T20 ,+ 0.79 pp ,+ 0.79 pp 
4. Reservas Adicionales ,- 0.38 pp ,0.00 pp 
5. Notas de Capital ,- 0.20 pp ,0.20 pp 
6. Crecimiento en Activos en Riesgo ,- 1.37 pp ,- 1.41 pp 


