Table
Comisiones por Servicios (Millones de Pesos) ,2T19 ,1T20 ,2T20 ,Var. 1T20 ,Vs. 2T19 ,1S19 ,1S20 ,Var. Vs. 1S19 
Transferencia de Fondos ,399 ,400 ,476 ,19% ,19% ,766 ,876 ,14% 
Manejo de Cuenta ,596 ,578 ,508 ,(12%) ,(15%) ,"1,200 ","1,086 ",(9%) 
Servicios de Banca Electrónica ,"2,285 ","2,336 ","2,027 ",(13%) ,(11%) ,"4,413 ","4,364 ",(1%) 
Comisiones por Servicios Bancarios Básicos ,"3,280 ","3,315 ","3,012 ",(9%) ,(8%) ,"6,379 ","6,326 ",(1%) 
Por Créditos Comerciales y Vivienda * ,291 ,495 ,394 ,(20%) ,35% ,528 ,889 ,68% 
Por Créditos de Consumo ,"1,246 ","1,242 ","1,049 ",(16%) ,(16%) ,"2,457 ","2,291 ",(7%) 
Fiduciario * ,108 ,119 ,102 ,(14%) ,(6%) ,212 ,221 ,4% 
Ingresos por Portafolios Inmobiliarios ,220 ,5 ,11 ,108% ,(95%) ,268 ,17 ,(94%) 
Fondos de Inversión ,449 ,461 ,486 ,5% ,8% ,877 ,948 ,8% 
Asesoría e Intermediación Financiera ,171 ,147 ,126 ,(14%) ,(26%) ,279 ,273 ,(2%) 
Otras Comisiones Cobradas (1) ,238 ,331 ,226 ,(32%) ,(5%) ,542 ,557 ,3% 
Comisiones por Servicios Cobrados ,"6,002 ","6,115 ","5,406 ",(12%) ,(10%) ,"11,542 ","11,521 ",(0%) 
Cuotas de Intercambio ,"1,077 ","1,226 ","1,018 ",(17%) ,(5%) ,"2,159 ","2,245 ",4% 
Comisiones de Seguros ,296 ,473 ,353 ,(25%) ,19% ,877 ,826 ,(6%) 
Otras Comisiones Pagadas ,999 ,961 ,966 ,1% ,(3%) ,"1,909 ","1,926 ",1% 
Comisiones por Servicios Pagados ,"2,372 ","2,660 ","2,337 ",(12%) ,(1%) ,"4,945 ","4,997 ",1% 
Comisiones por Servicios Netas ,"3,630 ","3,455 ","3,069 ",(11%) ,(15%) ,"6,598 ","6,524 ",(1%) 


Table
Ingresos por Intermediación (Millones de Pesos) ,2T19 ,1T20 ,2T20 ,Var. 1T20 ,Vs. 2T19 ,1S19 ,1S20 ,Var. Vs 1S19 
Divisas y Metales ,(26) ,"1,235 ",(501) ,N.A. ,(1858%) ,(31) ,734 ,N.A. 
Derivados ,176 ,"(1,238) ","1,139 ",N.A. ,547% ,697 ,(98) ,(114%) 
Títulos ,29 ,(166) ,(111) ,33% ,N.A. ,215 ,(277) ,(229%) 
Valuación ,179 ,(169) ,527 ,N.A. ,194% ,881 ,358 ,(59%) 
Divisas y Metales ,206 ,(862) ,774 ,N.A. ,276% ,307 ,(88) ,(129%) 
Derivados ,121 ,"1,742 ",(323) ,N.A. ,N.A. ,203 ,"1,420 ",598% 
Títulos ,456 ,455 ,724 ,59% ,59% ,723 ,"1,179 ",63% 
Compra-venta ,783 ,"1,335 ","1,175 ",(12%) ,50% ,"1,233 ","2,511 ",104% 
Ingresos por Intermediación ,963 ,"1,166 ","1,703 ",46% ,77% ,"2,114 ","2,869 ",36% 


