Table
,,CAPITAL CONTRIBUIDO ,,,,CAPITAL ,,GANADO ,,,
,,,,,,,,,,,
Saldos al 31 de Diciembre de 2019 ,"18,794 ","2,123 ","17,330 ","50,883 ","1,885 ","(2,287) ",(34) ,"(1,930) ","27,493 ",3 ,"114,260 "
Movim. inherentes a las decis. de los accionistas ,,,,,,,,,,,
Aplicación de utilidades ,,,,"27,493 ",,,,,"(27,493) ",,0 
Creación de Reservas según Asamblea General Ordinaria Anual de Accionistas del día 24 de Abril del 2020. ,,,"1,629 ","(1,629) ",,,,,,,0 
Plan de pagos basado en acciones liquidables en instrumentos de capital ,,423 ,,,,,,,,,423 
Total ,0 ,423 ,"1,629 ","25,864 ",0 ,0 ,0 ,0 ,"(27,493) ",0 ,423 
Movimientos inherentes al reconocimiento de la utilidad integral ,,,,,,,,,,,
Utilidad Integral: ,,,,,,,,,,,
Resultado neto ,,,,,,,,,"9,849 ",,"9,849 "
Resultado por Valuación de títulos disponibles para la venta ,,,,,"(1,288) ",,,,,,"(1,288) "
"Efecto de subsidiarias,asociadas ysociedades de inversion ",,,,(7) ,,,,,,,(7) 
Efecto acumulado por conversión ,,,,,,,194 ,,,,194 
Resultado por Valuación de Instrumentos de cobertura de flujos de efectivo ,,,,,,864 ,,,,,864 
Remediciones por beneficios definidos a los empleados ,,,,(18) ,,,,(67) ,,,(85) 
Intereses de obligaciónes subordinadas ,,,,"(1,628) ",,,,,,,"(1,628) "
Total ,0 ,0 ,0 ,"(1,653) ","(1,288) ",864 ,194 ,(67) ,"9,849 ",0 ,"7,899 "
Participación no controladora ,,,,,,,,,,1 ,1 
Saldos al 30 de Junio de 2020 ,"18,794 ","2,546 ","18,959 ","75,094 ",597 ,"(1,423) ",160 ,"(1,997) ","9,849 ",4 ,"122,583 "


