Table
Ingresos de Intereses Netos (IIN) (Millones de Pesos) ,2T19 ,1T20 ,2T20 ,Var. 1T20 ,Vs. 2T19 ,1S19 ,1S20 ,Var. Vs. 1S19 
Ingresos por Intereses ,"35,588 ","32,662 ","31,358 ",(4%) ,(12%) ,"71,003 ","64,020 ",(10%) 
Gastos por Intereses ,"18,038 ","14,366 ","13,019 ",(9%) ,(28%) ,"36,164 ","27,385 ",(24%) 
Comisiones Cobradas ,335 ,360 ,346 ,(4%) ,3% ,659 ,706 ,7% 
Comisiones Pagadas ,279 ,291 ,270 ,(7%) ,(3%) ,560 ,561 ,0% 
IIN sin Seguros y Pensiones ,"17,607 ","18,365 ","18,415 ",0% ,5% ,"34,939 ","36,780 ",5% 
Ingresos por Primas (Neto) ,"6,271 ","12,155 ","8,118 ",(33%) ,29% ,"18,485 ","20,273 ",10% 
Reservas Técnicas ,"1,228 ","7,946 ","1,216 ",(85%) ,(1%) ,"7,994 ","9,162 ",15% 
"Siniestros, Reclamaciones y Otras Obligaciones ","4,846 ","4,592 ","5,613 ",22% ,16% ,"9,178 ","10,205 ",11% 
Resultado Técnico ,197 ,(383) ,"1,288 ",N.A. ,555% ,"1,313 ",905 ,(31%) 
Ingresos (Egresos) por Intereses Netos ,"1,688 ","3,986 ",980 ,(75%) ,(42%) ,"4,025 ","4,966 ",23% 
IIN de Seguros y Pensiones ,"1,885 ","3,603 ","2,268 ",(37%) ,20% ,"5,337 ","5,871 ",10% 
IIN GFNORTE ,"19,492 ","21,968 ","20,683 ",(6%) ,6% ,"40,276 ","42,651 ",6% 
Provisiones para Crédito ,"3,728 ","4,344 ","8,456 ",95% ,127% ,"7,464 ","12,800 ",71% 
IIN Ajustado por Riesgos Crediticios ,"15,764 ","17,623 ","12,227 ",(31%) ,(22%) ,"32,812 ","29,851 ",(9%) 
Activos Productivos Promedio ,"1,426,372 ","1,481,187 ","1,566,225 ",6% ,10% ,"1,444,980 ","1,523,513 ",5% 
MIN (1) ,5.5% ,5.9% ,5.3% ,,,5.6% ,5.6% ,
MIN ajustado por Provisiones de Crédito (2) ,4.4% ,4.8% ,3.1% ,,,4.5% ,3.9% ,
MIN ajustado sin Seguros y Pensiones ,5.5% ,5.6% ,5.3% ,,,5.4% ,5.4% ,
MIN de Cartera Crediticia (3) ,8.0% ,8.4% ,8.1% ,,,7.8% ,8.2% ,


