Table
Gasto No Financiero (Millones de Pesos) ,2T19 ,1T20 ,2T20 ,Var. 1T20 ,Vs. 2T19 ,1S19 ,1S20 ,Var. Vs. 1S19 
Gastos de Personal ,"3,567 ","3,930 ","3,891 ",(1%) ,9% ,"7,498 ","7,820 ",4% 
Honorarios Pagados ,796 ,748 ,801 ,7% ,1% ,"1,534 ","1,550 ",1% 
Gastos de Administración y Promoción ,"2,002 ","2,382 ","2,032 ",(15%) ,1% ,"4,137 ","4,415 ",7% 
"Rentas, Depreciaciones y Amortizaciones ","1,635 ","1,946 ","2,047 ",5% ,25% ,"3,311 ","3,994 ",21% 
Otros Impuestos y Gastos No deducibles ,573 ,498 ,483 ,(3%) ,(16%) ,"1,134 ",982 ,(13%) 
Aportaciones al IPAB ,829 ,828 ,919 ,11% ,11% ,"1,668 ","1,748 ",5% 
PTU causado ,123 ,133 ,133 ,0% ,8% ,246 ,265 ,8% 
Gasto No Financiero ,"9,525 ","10,466 ","10,307 ",(2%) ,8% ,"19,528 ","20,774 ",6% 


Table
Otros Ingresos y Egresos de la Operación (Millones de Pesos) ,2T19 ,1T20 ,2T20 ,Var. 1T20 ,Vs. 2T19 ,1S19 ,1S20 ,Var. Vs. 1S19 
Portafolios de Crédito ,85 ,80 ,63 ,(21%) ,(26%) ,143 ,143 ,(0%) 
Resultado por Bienes Adjudicados ,74 ,88 ,132 ,50% ,78% ,162 ,220 ,36% 
Deterioro de Activos ,- ,(55) ,- ,N.A. ,NA ,(132) ,(55) ,58% 
Ingresos por Arrendamiento ,92 ,100 ,77 ,(24%) ,(16%) ,183 ,177 ,(3%) 
Provenientes de Seguros ,255 ,211 ,322 ,53% ,26% ,518 ,533 ,3% 
Resultado por Valuación en Op. de Bursatilización ,48 ,31 ,6 ,(82%) ,(88%) ,75 ,37 ,(51%) 
Otros ,100 ,(128) ,541 ,N.A. ,443% ,"1,847 ",413 ,(78%) 
Otros Ingresos (Egresos) de la Operación ,653 ,327 ,"1,140 ",248% ,75% ,"2,796 ","1,467 ",(48%) 


Table
Utilidad Neta (Millones de Pesos) ,2T19 ,1T20 ,2T20 ,Var. 1T20 ,Vs. 2T19 ,1S19 ,1S20 ,Var. Vs. 1S19 
Resultado Neto de Operación ,"11,485 ","12,106 ","7,832 ",(35%) ,(32%) ,"24,792 ","19,938 ",(20%) 
Participación en el Resultado de Subsidiarias y Asociadas no consolidadas ,466 ,353 ,648 ,83% ,39% ,877 ,"1,001 ",14% 
Resultado antes de Impuestos ,"11,951 ","12,459 ","8,480 ",(32%) ,(29%) ,"25,668 ","20,939 ",(18%) 
Impuestos ,"3,100 ","3,228 ","1,886 ",(42%) ,(39%) ,"6,750 ","5,114 ",(24%) 
Partidas Discontinuadas ,- ,- ,- ,N.A. ,N.A. ,- ,- ,N.A. 
Participación no controladora ,(123) ,(113) ,(75) ,(33%) ,39% ,(258) ,(189) ,27% 
Utilidad Neta ,"8,728 ","9,118 ","6,518 ",(29%) ,(25%) ,"18,660 ","15,636 ",(16%) 


