Table
Fuente de Fondeo (Millones de pesos) ,2T20 ,3T20 ,Var vs. 2T20 
Depósitos a la Vista ,,,
Moneda Nacional (1) ,"430,604 ","450,484 ",4.6% 
Moneda Extranjera (1) ,"51,611 ","59,067 ",14.4% 
Depósitos a la Vista ,"482,215 ","509,551 ",5.7% 
Depósitos a Plazo - Ventanilla ,,,
Moneda Nacional (2) ,"211,308 ","206,691 ",(2.2%) 
Moneda Extranjera ,"13,060 ","12,945 ",(0.9%) 
Captación Ventanilla ,"706,583 ","729,187 ",3.2% 
Mesa de Dinero ,,,
Moneda Nacional (3) ,"69,412 ","58,600 ",(15.6%) 
Moneda Extranjera (3) ,"42,900 ","43,482 ",1.4% 
Captación Integral Sector Banca ,"818,895 ","831,270 ",1.5% 


