Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. ",,,,% ,
Captación y recursos totales Millones de pesos ,9M 2019 ,6M 2020 ,9M 2020 ,Var Trim ,Var Anual 
Vista ,"843,714 ","1,016,021 ","1,047,248 ",3.1 ,24.1 
Plazo ,"276,897 ","273,665 ","272,245 ",(0.5) ,(1.7) 
Del Público en General ,"265,097 ","245,544 ","251,619 ",2.5 ,(5.1) 
Mercado de Dinero ,"11,800 ","28,121 ","20,626 ",(26.7) ,74.8 
Titulos de crédito emitidos ,"93,389 ","89,927 ","89,006 ",(1.0) ,(4.7) 
Cuenta global de captación sin movimientos ,"3,726 ","4,781 ","4,929 ",3.1 ,32.3 
Captación Tradicional ,"1,217,726 ","1,384,394 ","1,413,428 ",2.1 ,16.1 
Fondos de inversión ,"457,614 ","503,742 ","514,629 ",2.2 ,12.5 
Captación Global ,"1,675,340 ","1,888,136 ","1,928,057 ",2.1 ,15.1 


