Table
"Grupo Financiero BBVA Bancomer, ",S.A. de C.V. ,,,% ,
Cartera de crédito vencida Millones de pesos ,9M 2019 ,6M 2020 ,9M 2020 ,Var Trim ,Var Anual 
Actividad Empresarial ,"9,629 ","10,243 ","9,932 ",(3.0) ,3.1 
Entidades Financieras ,O ,O ,O ,O ,O 
Entidades Gubernamentales ,O ,O ,O ,O ,O 
Créditos Comerciales ,"9,629 ","10,243 ","9,932 ",(3.0) ,3.1 
Créditos de Consumo ,"9,959 ","8,317 ","7,778 ",(6.5) ,(21.9) 
Créditos ala Vivienda ,"7,443 ","6,457 ","8,230 ",27.5 ,10.6 
Crédito Vencido Total ,"27,031 ","25,017 ","25,940 ",3.7 ,(4.0) 


