Table
"Grupo Financiero BBVA Bancomer, Cartera de crédito vigente Millones de pesos ",S.A. de C.V. 9M 2019 ,6M 2020 ,9M 2020 ,% Var Trim ,Var Anual 
Actividad Empresarial ,"505,879 ","570,758 ","534,926 ",(6.3) ,5.7 
Entidades Financieras ,"26,452 ","28,600 ","26,762 ",(6.4) ,1.2 
Prestamos al Gobierno ,"80,459 ","93,771 ","100,179 ",6.8 ,24.5 
Paraestatales ,"47,021 ","55,969 ","55,774 ",(0.3) ,18.6 
Entidades Gubernamentales ,"127,480 ","149,740 ","155,953 ",4.1 ,22.3 
Créditos Comerciales ,"659,811 ","749,098 ","717,641 ",(4.2) ,8.8 
Créditos de Consumo ,"296,500 ","289,983 ","290,740 ",0.3 ,(1.9) 
Créditos a la Vivienda ,"226,178 ","242,366 ","244,900 ",1.0 ,8.3 
Crédito Vigente Total ,"1,182,489 ","1,281,447 ","1,253,281 ",(2.2) ,6.0 


