Table
,Capital ,Contribuido ,,,,Capital Ganado ,,,,,
,Capital social ,Prima en venta de acciones ,Reservas de capital ,Resultado de ejercicios anteriores ,Resultado por valuación de títulos disponibles para la venta ,Resultado por valuación de instrumentos de cobertura de flujos de efectivo ,Efecto acumulado por conversión ,Remediciones por beneficios definidos a los empleados ,Resultado neto ,Participación no controladora ,Total Capital Contable 
Saldos al 31 de Diciembre de 2019 ,"9,799 ","79,333 ",204 ,"99,568 ",82 ,(113) ,440 ,"(8,002) ","57,001 ",40 ,"238,352 "
MOVIMIENTOS INHERENTES A LAS DECISIONES DE LOS PROPIETARIOS.- ,,,,,,,,,,,
Traspaso del resultado neto a resultado de ejercicios anteriores ,,,,"57,001 ",,,,,"(57,001) ",,0 
Decreto de dividendos ,,,,"(10,919) ",,,,,,,"(10,919) "
Total ,o ,o ,o ,"46,082 ",o ,o ,o ,o ,"(57,001) ",o ,"(10,919) "
MOVIMIENTOS INHERENTES AL RECONOCIMIENTO DE LAUTILIDAD INTEGRAL. ,,,,,,,,,,,
Resultado neto ,,,,,,,,,"34,061 ",,"34,061 "
Resultado por valaluación de títulos disponibles para la venta ,,,,,692 ,,,,,,692 
Resultado por valuación de instrumentos de cobertura de flujos de efectivo ,,,,,,396 ,,,,,396 
Remediciones por beneficios definidos a los empleados ,,,,,,,,203 ,,,203 
Efecto consolidación ,,,,,,,,,,0 ,0 
Total ,o ,o ,o ,o ,692 ,396 ,o ,203 ,"34,061 ",o ,"35,352 "
Saldo al 30 de Septiembre de 2020 ,"9,799 ","79,333 ",204 ,"145,650 ",774 ,283 ,440 ,"(7,799) ","34,061 ",40 ,"262,785 "


