Table
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer ",Cartera comercial y entidades financieras ,Cartera hipotecaria ,Cartera de consumo ,Total 
Movimientos de la Cartera Vencida Millones de pesos ,,,,
Saldo Final (Diciembre 2019) ,"9,518 ","7,597 ","10,340 ","27,455 "
Entradas: ,"5,583 ","6,345 ","23,280 ","35,208 "
Traspaso de vigente y reestructurados ,"5,583 ","6,345 ","23,280 ","35,208 "
Salidas: ,"(5,169) ","(5,712) ","(25,842) ","(36,723) "
Traspasos a vigente ,(438) ,"(2,587) ","(2,486) ","(5,511) "
Liquidaciones en efectivo ,"(1,236) ","(1,061) ","(2,795) ","(5,092) "
Reestructurados (Liquidaciones en efectivo) ,(126) ,(343) ,(266) ,(735) 
Dación y/o adjudicación ,(77) ,(96) ,(3) ,(176) 
Quitas ,(581) ,(199) ,"(1,174) ","(1,954) "
Castigos ,"(2,711) ","(1,426) ","(19,118) ","(23,255) "
Saldo Final (Septiembre 2020) ,"9,932 ","8,230 ","7,778 ","25,940 "


