Table
"Grupo Financiero BBVA Bancomer, S.A. Intermediación Millones de pesos ",de C.V. 3T 2019 ,2T 2020 ,3T 2020 ,% Var Trim ,Var Anual ,9M 2019 ,9M 2020 ,% Var Anual 
Renta variable ,13 ,49 ,15 ,(69.4) ,15.4 ,171 ,(12) ,n.a. 
Renta fija directo y en reporto ,583 ,"2,983 ","(1,353) ",n.a. ,n.a. ,"(1,229) ","(1,251) ",1.8 
Inversiones en valores ,596 ,"3,032 ","(1,338) ",n.a. ,n.a. ,"(1,058) ","(1,263) ",19.4 
Divisas ,"(2,186) ",3 ,"6,879 ",n.a. ,n.a. ,"(1,041) ","(2,140) ",105.6 
Instrumentos financieros derivados ,420 ,"8,859 ","(7,803) ",n.a. ,n.a. ,"(3,711) ","(4,388) ",18.2 
Resultado por valuación ,"(1,170) ","11,894 ","(2,262) ",n.a. ,93.3 ,"(5,810) ","(7,791) ",34.1 
Renta variable ,(99) ,964 ,333 ,(65.5) ,n.a. ,(105) ,"(1,745) ","1,561.9 "
Renta fija directo y en reporto ,"2,856 ",408 ,"2,812 ",589.2 ,(1.5) ,"8,253 ","7,534 ",(8.7) 
Inversiones en valores ,"2,757 ","1,372 ","3,145 ",129.2 ,14.1 ,"8,148 ","5,789 ",(29.0) 
Divisas ,"1,371 ","1,597 ","1,507 ",(5.6) ,9.9 ,"4,159 ","4,561 ",9.7 
Instrumentos financieros derivados ,"1,163 ","(10,309) ",580 ,n.a. ,(50.1) ,"3,856 ","7,865 ",104.0 
Resultado por compra-venta ,"5,291 ","(7,340) ","5,232 ",n.a. ,(1.1) ,"16,163 ","18,215 ",12.7 
Resultado por intermediación ,"4,121 ","4,554 ","2,970 ",(34.8) ,(27.9) ,"10,353 ","10,424 ",0.7 


Table
"Grupo Financiero BBVA Bancomer, S.A. ",de C.V. ,,,% ,,,,% 
Otros Ingresos (Egresos) Millones de pesos ,3T 2019 ,2T 2020 ,3T 2020 ,Var Trim ,Var Anual ,9M 2019 ,9M 2020 ,Var Anual 
Bancos Corresponsales ,33 ,32 ,38 ,17.6 ,13.9 ,33 ,95 ,187.1 
Venta y recuperación de cartera ,61 ,24 ,123 ,415.9 ,101.1 ,61 ,166 ,172.1 
Intereses préstamos de empleados ,193 ,203 ,207 ,1.6 ,7.0 ,568 ,614 ,8.1 
Recuperación por pagos de garantias ,395 ,45 ,56 ,25.7 ,(85.7) ,539 ,201 ,(62.6) 
Resultado operación adjudicados ,218 ,171 ,475 ,177.6 ,117.8 ,513 ,830 ,61.8 
Quebrantos ,(263) ,(122) ,(52) ,(57.2) ,(80.1) ,(851) ,(339) ,(60.2) 
Contingencias legales y laborales ,(119) ,(57) ,(113) ,98.8 ,(4.7) ,(348) ,(307) ,(11.7) 
Plan indemnizaciones y jubilaciones ,167 ,(15) ,(3) ,(76.6) ,n.a. ,167 ,(226) ,n.a. 
Donativos ,(101) ,(273) ,(144) ,(47.1) ,42.8 ,(560) ,(672) ,20.0 
Plan de reorganización de sucursales ,0 ,O ,(699) ,n.a. ,n.a. ,0 ,(699) ,n.a. 
Dividendos cobrados de asociadas ,0 ,137 ,(31) ,n.a. ,n.a. ,109 ,106 ,(3.1) 
Otros ,(186) ,(776) ,688 ,n.a. ,n.a. ,45 ,(127) ,n.a. 
Otros Ingresos (egresos) de la Operación ,398 ,(631) ,542 ,n.a. ,36.3 ,276 ,(359) ,n.a. 


