Table
Activos Sujetos a Riesgo (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,VS. 4T19 
Total Crédito ,"627,281 ","690,977 ","706,194 ",2.20% ,12.58% 
Crédito (Cartera) ,"528,848 ","548,959 ","559,586 ",1.94% ,5.81% 
Crédito (Otros) ,"98,433 ","142,019 ","146,608 ",3.23% ,48.94% 
Total Mercado ,"108,351 ","144,284 ","155,747 ",7.95% ,43.74% 
Total Operacional ,"64,812 ","69,421 ","71,860 ",3.51% ,10.87% 
Totales ,"800,445 ","904,682 ","933,801 ",3.22% ,16.66% 


Table
,Con Reservas Adicionales ,Sin Reservas Adicionales 
,+1.65 pp ,+2.15 pp 
1. Utilidades generadas en el periodo ,+ 2.74 pp ,+ 2.74 pp 
2. Otros efectos de Capital* ,+0.85 pp ,+0.85 pp 
3. Notas de Capital ** ,+0.85 pp ,+0.85 pp 
4. Valuación de Instrumentos Financieros y Derivados de Cobertura * ,+ 0.41 pp ,+ 0.41 pp 
5. Reservas Adicionales ,-0.56 pp ,- 0.00 pp 
6. Crecimiento de Activos en Riesgo ,- 2.65 pp ,- 2.71 pp 


